clip_id,speaker_id,fold
S001.wav,S001,1
S002.wav,S002,3
S003.wav,S003,2
S004.wav,S004,0
S005.wav,S005,4
S006.wav,S006,3
S007.wav,S007,4
S009.wav,S009,3
S011.wav,S011,0
S012.wav,S012,3
S013.wav,S013,4
S015.wav,S015,4
S016.wav,S016,3
S017.wav,S017,1
S018.wav,S018,3
S019.wav,S019,3
S020.wav,S020,0
S021.wav,S021,1
S024.wav,S024,1
S025.wav,S025,1
S027.wav,S027,1
S028.wav,S028,4
S029.wav,S029,2
S030.wav,S030,0
S032.wav,S032,2
S033.wav,S033,4
S034.wav,S034,0
S035.wav,S035,0
S036.wav,S036,4
S038.wav,S038,3
S039.wav,S039,3
S040.wav,S040,2
S041.wav,S041,3
S043.wav,S043,4
S048.wav,S048,3
S049.wav,S049,4
S051.wav,S051,3
S052.wav,S052,2
S055.wav,S055,1
S056.wav,S056,2
S058.wav,S058,4
S059.wav,S059,2
S061.wav,S061,1
S062.wav,S062,2
S063.wav,S063,1
S064.wav,S064,4
S067.wav,S067,1
S068.wav,S068,3
S070.wav,S070,1
S071.wav,S071,4
S072.wav,S072,4
S073.wav,S073,4
S076.wav,S076,2
S077.wav,S077,0
S079.wav,S079,4
S080.wav,S080,1
S081.wav,S081,3
S082.wav,S082,2
S083.wav,S083,3
S084.wav,S084,2
S086.wav,S086,2
S087.wav,S087,1
S089.wav,S089,1
S090.wav,S090,1
S092.wav,S092,0
S093.wav,S093,3
S094.wav,S094,1
S095.wav,S095,0
S096.wav,S096,2
S097.wav,S097,2
S100.wav,S100,4
S101.wav,S101,3
S103.wav,S103,1
S104.wav,S104,3
S107.wav,S107,2
S108.wav,S108,2
S110.wav,S110,0
S111.wav,S111,1
S114.wav,S114,4
S116.wav,S116,3
S118.wav,S118,3
S122.wav,S122,0
S124.wav,S124,4
S125.wav,S125,1
S126.wav,S126,3
S127.wav,S127,2
S128.wav,S128,1
S129.wav,S129,0
S130.wav,S130,0
S132.wav,S132,3
S135.wav,S135,1
S136.wav,S136,1
S137.wav,S137,1
S138.wav,S138,1
S139.wav,S139,3
S140.wav,S140,0
S141.wav,S141,0
S142.wav,S142,1
S143.wav,S143,3
S144.wav,S144,3
S145.wav,S145,4
S148.wav,S148,1
S149.wav,S149,0
S150.wav,S150,2
S151.wav,S151,1
S153.wav,S153,0
S154.wav,S154,2
S156.wav,S156,2
S160.wav,S160,3
S161.wav,S161,0
S162.wav,S162,2
S163.wav,S163,4
S164.wav,S164,3
S165.wav,S165,4
S166.wav,S166,2
S167.wav,S167,0
S168.wav,S168,2
S169.wav,S169,1
S170.wav,S170,2
S171.wav,S171,4
S172.wav,S172,4
S173.wav,S173,4
S174.wav,S174,0
S175.wav,S175,0
S176.wav,S176,2
S177.wav,S177,0
S178.wav,S178,3
S179.wav,S179,0
S180.wav,S180,0
S181.wav,S181,0
S182.wav,S182,4
S183.wav,S183,4
S184.wav,S184,3
S185.wav,S185,2
S186.wav,S186,0
S187.wav,S187,4
S188.wav,S188,0
S189.wav,S189,2
S190.wav,S190,3
S191.wav,S191,2
S192.wav,S192,0
S193.wav,S193,0
S194.wav,S194,4
S195.wav,S195,1
S196.wav,S196,2
S197.wav,S197,0
S198.wav,S198,4
S199.wav,S199,2
S200.wav,S200,1
S201.wav,S201,0
S202.wav,S202,4
S203.wav,S203,3
S204.wav,S204,1
S205.wav,S205,0
S206.wav,S206,2
S207.wav,S207,4
