clip_id,speaker_id,fold
adrso002.wav,adrso002,1
adrso003.wav,adrso003,2
adrso004.wav,adrso004,1
adrso005.wav,adrso005,0
adrso006.wav,adrso006,4
adrso007.wav,adrso007,3
adrso008.wav,adrso008,2
adrso009.wav,adrso009,1
adrso010.wav,adrso010,0
adrso011.wav,adrso011,4
adrso012.wav,adrso012,3
adrso013.wav,adrso013,2
adrso014.wav,adrso014,1
adrso015.wav,adrso015,4
adrso016.wav,adrso016,1
adrso017.wav,adrso017,3
adrso018.wav,adrso018,2
adrso019.wav,adrso019,1
adrso020.wav,adrso020,0
adrso021.wav,adrso021,4
adrso022.wav,adrso022,3
adrso023.wav,adrso023,2
adrso024.wav,adrso024,1
adrso025.wav,adrso025,0
adrso027.wav,adrso027,4
adrso028.wav,adrso028,3
adrso029.wav,adrso029,2
adrso031.wav,adrso031,3
adrso032.wav,adrso032,4
adrso033.wav,adrso033,0
adrso035.wav,adrso035,1
adrso036.wav,adrso036,1
adrso037.wav,adrso037,0
adrso038.wav,adrso038,4
adrso039.wav,adrso039,3
adrso041.wav,adrso041,2
adrso042.wav,adrso042,1
adrso043.wav,adrso043,0
adrso044.wav,adrso044,4
adrso045.wav,adrso045,3
adrso046.wav,adrso046,2
adrso047.wav,adrso047,1
adrso049.wav,adrso049,0
adrso052.wav,adrso052,4
adrso053.wav,adrso053,3
adrso054.wav,adrso054,2
adrso055.wav,adrso055,1
adrso056.wav,adrso056,0
adrso059.wav,adrso059,4
adrso060.wav,adrso060,3
adrso062.wav,adrso062,2
adrso063.wav,adrso063,1
adrso064.wav,adrso064,0
adrso065.wav,adrso065,4
adrso066.wav,adrso066,3
adrso068.wav,adrso068,2
adrso070.wav,adrso070,0
adrso071.wav,adrso071,0
adrso072.wav,adrso072,4
adrso074.wav,adrso074,3
adrso075.wav,adrso075,2
adrso077.wav,adrso077,1
adrso078.wav,adrso078,0
adrso083.wav,adrso083,4
adrso088.wav,adrso088,3
adrso089.wav,adrso089,2
adrso090.wav,adrso090,1
adrso092.wav,adrso092,0
adrso093.wav,adrso093,4
adrso098.wav,adrso098,3
adrso099.wav,adrso099,2
adrso106.wav,adrso106,1
adrso108.wav,adrso108,4
adrso109.wav,adrso109,1
