clip_id,speaker_id,fold
adrso002.wav,adrso002,1
adrso003.wav,adrso003,0
adrso004.wav,adrso004,4
adrso005.wav,adrso005,3
adrso006.wav,adrso006,2
adrso007.wav,adrso007,1
adrso008.wav,adrso008,0
adrso009.wav,adrso009,4
adrso010.wav,adrso010,3
adrso011.wav,adrso011,2
adrso012.wav,adrso012,1
adrso013.wav,adrso013,0
adrso014.wav,adrso014,4
adrso015.wav,adrso015,3
adrso016.wav,adrso016,2
adrso017.wav,adrso017,1
adrso018.wav,adrso018,0
adrso019.wav,adrso019,4
adrso020.wav,adrso020,3
adrso021.wav,adrso021,2
adrso022.wav,adrso022,1
adrso023.wav,adrso023,0
adrso024.wav,adrso024,4
adrso025.wav,adrso025,3
adrso027.wav,adrso027,2
adrso028.wav,adrso028,1
adrso029.wav,adrso029,0
adrso031.wav,adrso031,4
adrso032.wav,adrso032,3
adrso033.wav,adrso033,2
adrso035.wav,adrso035,1
adrso036.wav,adrso036,0
adrso037.wav,adrso037,4
adrso038.wav,adrso038,3
adrso039.wav,adrso039,2
adrso041.wav,adrso041,1
adrso042.wav,adrso042,0
adrso043.wav,adrso043,4
adrso044.wav,adrso044,3
adrso045.wav,adrso045,2
adrso046.wav,adrso046,1
adrso047.wav,adrso047,0
adrso049.wav,adrso049,4
adrso052.wav,adrso052,3
adrso053.wav,adrso053,2
adrso054.wav,adrso054,1
adrso055.wav,adrso055,0
adrso056.wav,adrso056,4
adrso059.wav,adrso059,3
adrso060.wav,adrso060,2
adrso062.wav,adrso062,1
adrso063.wav,adrso063,0
adrso064.wav,adrso064,4
adrso065.wav,adrso065,3
adrso066.wav,adrso066,2
adrso068.wav,adrso068,1
adrso070.wav,adrso070,0
adrso071.wav,adrso071,4
adrso072.wav,adrso072,3
adrso074.wav,adrso074,2
adrso075.wav,adrso075,1
adrso077.wav,adrso077,0
adrso078.wav,adrso078,4
adrso083.wav,adrso083,3
adrso088.wav,adrso088,2
adrso089.wav,adrso089,1
adrso090.wav,adrso090,0
adrso092.wav,adrso092,4
adrso093.wav,adrso093,3
adrso098.wav,adrso098,2
adrso099.wav,adrso099,1
adrso106.wav,adrso106,0
adrso108.wav,adrso108,4
adrso109.wav,adrso109,3
adrso110.wav,adrso110,2
adrso112.wav,adrso112,1
adrso113.wav,adrso113,0
adrso116.wav,adrso116,4
adrso117.wav,adrso117,3
adrso118.wav,adrso118,2
adrso121.wav,adrso121,1
adrso122.wav,adrso122,0
adrso123.wav,adrso123,4
adrso124.wav,adrso124,3
adrso125.wav,adrso125,2
adrso126.wav,adrso126,1
adrso128.wav,adrso128,0
adrso130.wav,adrso130,4
adrso132.wav,adrso132,3
adrso134.wav,adrso134,2
adrso135.wav,adrso135,1
adrso138.wav,adrso138,0
adrso140.wav,adrso140,4
adrso141.wav,adrso141,3
adrso142.wav,adrso142,2
adrso144.wav,adrso144,1
adrso148.wav,adrso148,0
adrso149.wav,adrso149,4
adrso150.wav,adrso150,3
adrso151.wav,adrso151,2
