clip_id,speaker_id,fold
adrso002.wav,adrso002,4
adrso003.wav,adrso003,2
adrso004.wav,adrso004,2
adrso005.wav,adrso005,1
adrso006.wav,adrso006,2
adrso007.wav,adrso007,4
adrso008.wav,adrso008,3
adrso009.wav,adrso009,0
adrso010.wav,adrso010,0
adrso011.wav,adrso011,3
adrso012.wav,adrso012,3
adrso013.wav,adrso013,2
adrso014.wav,adrso014,4
adrso015.wav,adrso015,1
adrso016.wav,adrso016,3
adrso017.wav,adrso017,1
adrso018.wav,adrso018,3
adrso019.wav,adrso019,2
adrso020.wav,adrso020,1
adrso021.wav,adrso021,1
adrso022.wav,adrso022,1
adrso023.wav,adrso023,3
adrso024.wav,adrso024,2
adrso025.wav,adrso025,1
adrso027.wav,adrso027,3
adrso028.wav,adrso028,2
adrso029.wav,adrso029,2
adrso031.wav,adrso031,1
adrso032.wav,adrso032,1
adrso033.wav,adrso033,0
adrso035.wav,adrso035,1
adrso036.wav,adrso036,1
adrso037.wav,adrso037,2
adrso038.wav,adrso038,1
adrso039.wav,adrso039,3
adrso041.wav,adrso041,0
adrso042.wav,adrso042,3
adrso043.wav,adrso043,0
adrso044.wav,adrso044,3
adrso045.wav,adrso045,1
adrso046.wav,adrso046,1
adrso047.wav,adrso047,4
adrso049.wav,adrso049,1
adrso052.wav,adrso052,0
adrso053.wav,adrso053,1
adrso054.wav,adrso054,2
adrso055.wav,adrso055,3
adrso056.wav,adrso056,4
adrso059.wav,adrso059,3
adrso060.wav,adrso060,2
adrso062.wav,adrso062,0
adrso063.wav,adrso063,3
adrso064.wav,adrso064,3
adrso065.wav,adrso065,2
adrso066.wav,adrso066,0
adrso068.wav,adrso068,4
adrso070.wav,adrso070,4
adrso071.wav,adrso071,0
adrso072.wav,adrso072,3
adrso074.wav,adrso074,2
adrso075.wav,adrso075,4
adrso077.wav,adrso077,1
adrso078.wav,adrso078,3
adrso083.wav,adrso083,4
adrso088.wav,adrso088,4
adrso089.wav,adrso089,4
adrso090.wav,adrso090,2
adrso092.wav,adrso092,1
adrso093.wav,adrso093,0
adrso098.wav,adrso098,4
adrso099.wav,adrso099,1
adrso106.wav,adrso106,2
adrso108.wav,adrso108,2
adrso109.wav,adrso109,4
adrso110.wav,adrso110,2
adrso112.wav,adrso112,2
adrso113.wav,adrso113,2
adrso116.wav,adrso116,0
adrso117.wav,adrso117,0
adrso118.wav,adrso118,1
adrso121.wav,adrso121,3
adrso122.wav,adrso122,2
adrso123.wav,adrso123,4
adrso124.wav,adrso124,0
adrso125.wav,adrso125,1
adrso126.wav,adrso126,3
adrso128.wav,adrso128,0
adrso130.wav,adrso130,4
adrso132.wav,adrso132,1
adrso134.wav,adrso134,0
adrso135.wav,adrso135,0
adrso138.wav,adrso138,3
adrso140.wav,adrso140,4
adrso141.wav,adrso141,4
adrso142.wav,adrso142,2
adrso144.wav,adrso144,2
adrso148.wav,adrso148,0
adrso149.wav,adrso149,0
adrso150.wav,adrso150,1
adrso151.wav,adrso151,1
adrso152.wav,adrso152,3
adrso153.wav,adrso153,2
adrso154.wav,adrso154,4
adrso155.wav,adrso155,0
adrso156.wav,adrso156,1
adrso157.wav,adrso157,1
adrso158.wav,adrso158,0
adrso159.wav,adrso159,4
adrso160.wav,adrso160,1
adrso161.wav,adrso161,0
adrso162.wav,adrso162,1
adrso164.wav,adrso164,2
adrso165.wav,adrso165,1
adrso166.wav,adrso166,2
adrso167.wav,adrso167,1
adrso168.wav,adrso168,4
adrso169.wav,adrso169,2
adrso170.wav,adrso170,4
adrso171.wav,adrso171,3
adrso172.wav,adrso172,4
adrso173.wav,adrso173,2
adrso177.wav,adrso177,1
adrso178.wav,adrso178,3
adrso179.wav,adrso179,0
adrso180.wav,adrso180,1
adrso181.wav,adrso181,4
adrso182.wav,adrso182,0
adrso183.wav,adrso183,0
adrso184.wav,adrso184,4
adrso185.wav,adrso185,3
adrso186.wav,adrso186,3
adrso187.wav,adrso187,3
adrso188.wav,adrso188,4
adrso189.wav,adrso189,2
adrso190.wav,adrso190,1
adrso192.wav,adrso192,0
adrso194.wav,adrso194,2
adrso197.wav,adrso197,0
adrso198.wav,adrso198,0
adrso199.wav,adrso199,3
adrso200.wav,adrso200,0
adrso202.wav,adrso202,2
adrso205.wav,adrso205,2
adrso206.wav,adrso206,4
adrso209.wav,adrso209,4
adrso210.wav,adrso210,4
adrso211.wav,adrso211,2
adrso212.wav,adrso212,4
adrso214.wav,adrso214,3
adrso215.wav,adrso215,4
adrso216.wav,adrso216,3
adrso217.wav,adrso217,0
adrso218.wav,adrso218,0
adrso219.wav,adrso219,1
adrso220.wav,adrso220,1
adrso222.wav,adrso222,0
adrso223.wav,adrso223,1
adrso224.wav,adrso224,0
adrso226.wav,adrso226,0
