clip_id,speaker_id,fold
300.wav,300,3
301.wav,301,3
302.wav,302,2
303.wav,303,2
304.wav,304,1
305.wav,305,1
306.wav,306,3
307.wav,307,0
308.wav,308,0
309.wav,309,4
310.wav,310,2
311.wav,311,3
312.wav,312,0
313.wav,313,2
314.wav,314,2
315.wav,315,0
316.wav,316,1
317.wav,317,3
318.wav,318,1
319.wav,319,2
320.wav,320,0
321.wav,321,1
322.wav,322,1
323.wav,323,3
324.wav,324,2
325.wav,325,4
326.wav,326,1
327.wav,327,0
328.wav,328,4
329.wav,329,4
330.wav,330,2
331.wav,331,4
332.wav,332,4
333.wav,333,1
334.wav,334,4
335.wav,335,3
336.wav,336,2
337.wav,337,0
338.wav,338,3
339.wav,339,4
340.wav,340,2
341.wav,341,2
343.wav,343,3
344.wav,344,2
345.wav,345,1
346.wav,346,0
347.wav,347,2
348.wav,348,4
349.wav,349,3
350.wav,350,3
351.wav,351,2
352.wav,352,2
353.wav,353,1
354.wav,354,3
355.wav,355,1
356.wav,356,0
357.wav,357,2
358.wav,358,3
359.wav,359,2
360.wav,360,0
361.wav,361,2
362.wav,362,1
363.wav,363,2
364.wav,364,0
365.wav,365,0
366.wav,366,3
367.wav,367,1
368.wav,368,1
369.wav,369,3
370.wav,370,3
371.wav,371,4
372.wav,372,1
373.wav,373,4
374.wav,374,0
375.wav,375,0
376.wav,376,1
377.wav,377,0
378.wav,378,4
379.wav,379,3
380.wav,380,4
381.wav,381,2
382.wav,382,1
383.wav,383,4
384.wav,384,1
385.wav,385,3
386.wav,386,3
387.wav,387,2
388.wav,388,4
389.wav,389,4
390.wav,390,0
391.wav,391,1
392.wav,392,3
393.wav,393,1
395.wav,395,2
396.wav,396,3
397.wav,397,3
399.wav,399,1
400.wav,400,0
401.wav,401,2
402.wav,402,4
403.wav,403,3
404.wav,404,1
405.wav,405,3
406.wav,406,0
407.wav,407,2
408.wav,408,3
409.wav,409,1
410.wav,410,2
411.wav,411,0
412.wav,412,1
413.wav,413,1
414.wav,414,1
415.wav,415,2
416.wav,416,3
417.wav,417,4
418.wav,418,4
419.wav,419,0
420.wav,420,4
421.wav,421,0
422.wav,422,3
423.wav,423,3
424.wav,424,3
425.wav,425,1
426.wav,426,2
427.wav,427,0
428.wav,428,0
429.wav,429,1
430.wav,430,4
431.wav,431,4
432.wav,432,1
433.wav,433,2
434.wav,434,3
435.wav,435,3
436.wav,436,3
437.wav,437,2
438.wav,438,1
439.wav,439,1
440.wav,440,0
441.wav,441,2
442.wav,442,0
443.wav,443,3
444.wav,444,3
445.wav,445,4
446.wav,446,3
447.wav,447,1
448.wav,448,1
449.wav,449,2
450.wav,450,4
451.wav,451,4
452.wav,452,2
453.wav,453,1
454.wav,454,4
455.wav,455,0
456.wav,456,0
457.wav,457,0
458.wav,458,2
459.wav,459,1
461.wav,461,1
462.wav,462,2
463.wav,463,2
464.wav,464,0
465.wav,465,1
466.wav,466,2
467.wav,467,4
468.wav,468,3
469.wav,469,4
470.wav,470,2
471.wav,471,4
472.wav,472,1
473.wav,473,3
474.wav,474,3
475.wav,475,0
476.wav,476,4
477.wav,477,2
478.wav,478,4
479.wav,479,4
480.wav,480,1
481.wav,481,4
482.wav,482,1
483.wav,483,0
484.wav,484,3
485.wav,485,0
486.wav,486,0
487.wav,487,4
488.wav,488,2
489.wav,489,4
490.wav,490,3
491.wav,491,0
492.wav,492,1
600.wav,600,0
601.wav,601,2
602.wav,602,1
603.wav,603,4
604.wav,604,4
605.wav,605,0
606.wav,606,4
607.wav,607,0
608.wav,608,4
609.wav,609,0
612.wav,612,2
615.wav,615,1
617.wav,617,1
618.wav,618,4
619.wav,619,4
620.wav,620,3
622.wav,622,0
623.wav,623,1
624.wav,624,0
625.wav,625,4
626.wav,626,0
627.wav,627,2
628.wav,628,4
629.wav,629,2
631.wav,631,0
632.wav,632,0
633.wav,633,2
634.wav,634,4
635.wav,635,3
636.wav,636,2
637.wav,637,3
638.wav,638,3
640.wav,640,0
641.wav,641,0
649.wav,649,2
650.wav,650,2
651.wav,651,0
652.wav,652,3
653.wav,653,2
654.wav,654,1
655.wav,655,3
656.wav,656,2
657.wav,657,3
658.wav,658,0
659.wav,659,0
660.wav,660,1
661.wav,661,4
662.wav,662,2
663.wav,663,3
664.wav,664,1
666.wav,666,4
667.wav,667,1
669.wav,669,2
670.wav,670,4
673.wav,673,4
676.wav,676,3
677.wav,677,0
679.wav,679,1
680.wav,680,3
682.wav,682,2
683.wav,683,3
684.wav,684,1
687.wav,687,4
688.wav,688,3
689.wav,689,4
691.wav,691,1
692.wav,692,2
693.wav,693,1
695.wav,695,0
696.wav,696,0
697.wav,697,3
698.wav,698,0
699.wav,699,0
702.wav,702,4
703.wav,703,4
705.wav,705,1
707.wav,707,4
708.wav,708,1
709.wav,709,0
710.wav,710,4
712.wav,712,2
713.wav,713,2
715.wav,715,4
716.wav,716,3
717.wav,717,3
718.wav,718,0
