clip_id,speaker_id,fold
300.wav,300,4
301.wav,301,3
302.wav,302,1
303.wav,303,0
304.wav,304,4
305.wav,305,4
306.wav,306,3
307.wav,307,2
308.wav,308,3
309.wav,309,0
310.wav,310,3
311.wav,311,1
312.wav,312,4
313.wav,313,1
314.wav,314,4
315.wav,315,2
316.wav,316,0
317.wav,317,0
318.wav,318,3
319.wav,319,1
320.wav,320,2
321.wav,321,3
322.wav,322,2
323.wav,323,3
324.wav,324,1
325.wav,325,0
326.wav,326,4
327.wav,327,4
328.wav,328,4
329.wav,329,2
330.wav,330,3
331.wav,331,1
332.wav,332,1
333.wav,333,2
334.wav,334,0
335.wav,335,2
336.wav,336,1
337.wav,337,0
338.wav,338,0
339.wav,339,0
340.wav,340,1
341.wav,341,0
343.wav,343,0
344.wav,344,2
345.wav,345,4
346.wav,346,3
347.wav,347,0
348.wav,348,0
349.wav,349,4
350.wav,350,0
351.wav,351,4
352.wav,352,3
353.wav,353,0
354.wav,354,2
355.wav,355,2
356.wav,356,3
357.wav,357,3
358.wav,358,2
359.wav,359,4
360.wav,360,0
361.wav,361,4
362.wav,362,3
363.wav,363,0
364.wav,364,1
365.wav,365,1
366.wav,366,3
367.wav,367,4
368.wav,368,4
369.wav,369,0
370.wav,370,1
371.wav,371,3
372.wav,372,0
373.wav,373,0
374.wav,374,2
375.wav,375,4
376.wav,376,2
377.wav,377,4
378.wav,378,1
379.wav,379,4
380.wav,380,1
381.wav,381,0
382.wav,382,2
383.wav,383,1
384.wav,384,4
385.wav,385,4
386.wav,386,2
387.wav,387,2
388.wav,388,4
389.wav,389,0
390.wav,390,1
391.wav,391,1
392.wav,392,2
393.wav,393,4
395.wav,395,3
396.wav,396,4
397.wav,397,0
399.wav,399,3
400.wav,400,2
401.wav,401,2
402.wav,402,2
403.wav,403,0
404.wav,404,2
405.wav,405,4
406.wav,406,2
407.wav,407,4
408.wav,408,4
409.wav,409,1
410.wav,410,1
411.wav,411,1
412.wav,412,3
413.wav,413,0
414.wav,414,4
415.wav,415,2
416.wav,416,4
417.wav,417,3
418.wav,418,1
419.wav,419,0
420.wav,420,0
421.wav,421,3
422.wav,422,1
423.wav,423,3
424.wav,424,0
425.wav,425,1
426.wav,426,3
427.wav,427,2
428.wav,428,0
429.wav,429,1
430.wav,430,0
431.wav,431,3
432.wav,432,1
433.wav,433,1
434.wav,434,1
435.wav,435,3
436.wav,436,2
437.wav,437,0
438.wav,438,4
439.wav,439,2
440.wav,440,1
441.wav,441,3
442.wav,442,4
443.wav,443,2
444.wav,444,4
445.wav,445,1
446.wav,446,2
447.wav,447,0
448.wav,448,3
449.wav,449,1
450.wav,450,3
451.wav,451,2
452.wav,452,3
453.wav,453,2
454.wav,454,3
455.wav,455,1
456.wav,456,0
457.wav,457,3
458.wav,458,0
459.wav,459,3
461.wav,461,2
462.wav,462,0
463.wav,463,4
464.wav,464,4
465.wav,465,2
466.wav,466,2
467.wav,467,3
468.wav,468,4
469.wav,469,3
470.wav,470,1
471.wav,471,2
472.wav,472,1
473.wav,473,2
474.wav,474,4
475.wav,475,4
476.wav,476,0
477.wav,477,3
478.wav,478,3
479.wav,479,4
480.wav,480,3
481.wav,481,1
482.wav,482,4
483.wav,483,3
484.wav,484,0
485.wav,485,2
486.wav,486,1
487.wav,487,0
488.wav,488,1
489.wav,489,4
490.wav,490,1
491.wav,491,3
492.wav,492,2
600.wav,600,4
601.wav,601,1
602.wav,602,0
603.wav,603,3
604.wav,604,3
605.wav,605,1
606.wav,606,2
607.wav,607,0
608.wav,608,2
609.wav,609,1
612.wav,612,4
615.wav,615,2
617.wav,617,1
618.wav,618,3
619.wav,619,0
620.wav,620,3
622.wav,622,1
623.wav,623,4
624.wav,624,0
625.wav,625,3
626.wav,626,0
627.wav,627,2
628.wav,628,0
629.wav,629,2
631.wav,631,4
632.wav,632,1
633.wav,633,2
634.wav,634,4
635.wav,635,1
636.wav,636,1
637.wav,637,1
638.wav,638,0
640.wav,640,4
641.wav,641,2
649.wav,649,3
650.wav,650,0
651.wav,651,2
652.wav,652,1
653.wav,653,1
654.wav,654,2
655.wav,655,4
656.wav,656,2
657.wav,657,2
658.wav,658,4
659.wav,659,2
660.wav,660,1
661.wav,661,0
662.wav,662,2
663.wav,663,0
664.wav,664,3
666.wav,666,1
667.wav,667,1
669.wav,669,4
670.wav,670,0
673.wav,673,4
676.wav,676,2
677.wav,677,4
679.wav,679,0
680.wav,680,3
682.wav,682,1
683.wav,683,3
684.wav,684,3
687.wav,687,2
688.wav,688,2
689.wav,689,3
691.wav,691,0
692.wav,692,4
693.wav,693,3
695.wav,695,3
696.wav,696,0
697.wav,697,3
698.wav,698,2
699.wav,699,4
702.wav,702,4
703.wav,703,2
705.wav,705,3
707.wav,707,1
708.wav,708,3
709.wav,709,1
710.wav,710,4
712.wav,712,4
713.wav,713,0
715.wav,715,1
716.wav,716,0
717.wav,717,0
718.wav,718,3
