pid,src_dur_s,start_s,end_s,win_dur_s,capped,sr
300,759.8001,229.9001,529.9001,300.0,1,16000
301,1321.6999,510.85,810.85,300.0,1,16000
302,974.3,337.15,637.15,300.0,1,16000
303,1601.7,650.85,950.85,300.0,1,16000
304,1142.6999,421.35,721.35,300.0,1,16000
305,2847.4001,1273.7,1573.7,300.0,1,16000
306,619.1,159.55,459.55,300.0,1,16000
307,2207.0999,953.55,1253.55,300.0,1,16000
308,369.4999,34.75,334.75,300.0,1,16000
309,192.7,0.0,192.7,192.7,0,16000
310,297.8,0.0,297.8,297.8,0,16000
311,217.7999,0.0,217.7999,217.7999,0,16000
312,340.3999,20.2,320.2,300.0,1,16000
313,1021.1001,360.5501,660.5501,300.0001,1,16000
314,1098.4999,399.25,699.25,300.0,1,16000
315,1492.4999,596.2499,896.2499,300.0,1,16000
316,226.3,0.0,226.3,226.3,0,16000
317,233.9999,0.0,233.9999,233.9999,0,16000
318,249.5999,0.0,249.5999,249.5999,0,16000
319,910.9,305.45,605.45,300.0,1,16000
320,249.1,0.0,249.1,249.1,0,16000
321,311.5999,5.8,305.8,300.0,1,16000
322,537.0999,118.55,418.55,300.0,1,16000
323,417.3001,58.65,358.65,300.0,1,16000
324,275.7001,0.0,275.7001,275.7001,0,16000
325,528.2,114.1,414.1,300.0,1,16000
326,196.3,0.0,196.3,196.3,0,16000
327,951.4001,325.7,625.7,300.0,1,16000
328,679.2,189.6,489.6,300.0,1,16000
329,365.4,32.7,332.7,300.0001,1,16000
330,181.6,0.0,181.6,181.6,0,16000
331,447.8,73.9,373.9,300.0,1,16000
332,1242.3999,471.2,771.2,300.0,1,16000
333,1403.4999,551.75,851.75,300.0,1,16000
334,1445.0,572.5,872.5,300.0,1,16000
335,452.7001,76.3501,376.3501,300.0,1,16000
336,379.1,39.55,339.55,300.0,1,16000
337,1404.5001,552.25,852.25,300.0,1,16000
338,287.8,0.0,287.8,287.8,0,16000
339,443.5,71.75,371.75,300.0,1,16000
340,204.2999,0.0,204.2999,204.2999,0,16000
341,418.6001,59.3,359.3,300.0,1,16000
343,272.6999,0.0,272.6999,272.6999,0,16000
344,1745.3,722.65,1022.65,300.0,1,16000
345,1314.0,507.0,807.0,300.0,1,16000
346,699.4999,199.75,499.75,300.0,1,16000
347,145.1,0.0,145.1,145.1,0,16000
348,328.0999,14.05,314.05,300.0,1,16000
349,503.0,101.5,401.5,300.0,1,16000
350,1352.1001,526.05,826.05,300.0,1,16000
351,1167.8,433.9,733.9,300.0,1,16000
352,1273.2001,486.6,786.6,300.0,1,16000
353,415.1999,57.6,357.6,300.0,1,16000
354,167.4999,0.0,167.4999,167.4999,0,16000
355,358.3,29.15,329.15,300.0,1,16000
356,591.4999,145.75,445.75,300.0,1,16000
357,530.4,115.2,415.2,300.0001,1,16000
358,258.0,0.0,258.0,258.0,0,16000
359,605.3001,152.65,452.65,300.0,1,16000
360,218.3,0.0,218.3,218.3,0,16000
361,397.8001,48.9,348.9,300.0,1,16000
362,286.7,0.0,286.7,286.7,0,16000
363,804.5001,252.25,552.25,300.0,1,16000
364,1340.2,520.1,820.1,300.0,1,16000
365,718.1001,209.05,509.05,300.0,1,16000
366,847.1,273.55,573.55,300.0001,1,16000
367,1068.9999,384.5,684.5,300.0,1,16000
368,1039.7,369.85,669.85,300.0,1,16000
369,749.3,224.65,524.65,300.0001,1,16000
370,849.3001,274.6501,574.6501,300.0,1,16000
371,309.8001,4.9,304.9,300.0,1,16000
372,751.3001,225.65,525.65,300.0,1,16000
373,949.2,324.6,624.6,300.0,1,16000
374,2039.8999,869.95,1169.95,300.0,1,16000
375,177.1,0.0,177.1,177.1,0,16000
376,615.6,157.8,457.8,300.0,1,16000
377,843.8999,271.95,571.95,300.0,1,16000
378,432.0999,66.05,366.05,300.0,1,16000
379,708.9001,204.45,504.45,300.0,1,16000
380,1278.0,489.0,789.0,300.0,1,16000
381,501.0001,100.5,400.5,300.0,1,16000
382,364.7999,32.4,332.4,300.0,1,16000
383,901.7,300.85,600.85,300.0,1,16000
384,495.7001,97.85,397.85,300.0,1,16000
385,80.3001,0.0,80.3001,80.3001,0,16000
386,1759.7999,729.9,1029.9,300.0,1,16000
387,210.4001,0.0,210.4001,210.4001,0,16000
388,170.3,0.0,170.3,170.3,0,16000
389,209.9,0.0,209.9,209.9,0,16000
390,569.8,134.9,434.9,300.0001,1,16000
391,246.8999,0.0,246.8999,246.8999,0,16000
392,258.0,0.0,258.0,258.0,0,16000
393,225.9,0.0,225.9,225.9,0,16000
395,1338.1,519.05,819.05,300.0001,1,16000
396,389.7,44.85,344.85,300.0001,1,16000
397,1426.9001,563.45,863.45,300.0,1,16000
399,370.0999,35.0499,335.0499,300.0,1,16000
400,478.9001,89.45,389.45,300.0,1,16000
401,454.1,77.05,377.05,300.0,1,16000
402,462.9999,81.5,381.5,300.0,1,16000
403,1341.3,520.65,820.65,300.0,1,16000
404,1616.8001,658.4001,958.4001,300.0,1,16000
405,2529.7999,1114.9,1414.9,300.0,1,16000
406,1047.4,373.7,673.7,300.0,1,16000
407,920.4001,310.2001,610.2001,300.0,1,16000
408,372.6,36.3,336.3,300.0,1,16000
409,718.4,209.2,509.2,300.0,1,16000
410,609.7,154.85,454.85,300.0,1,16000
411,1015.6001,357.8,657.8,300.0,1,16000
412,1162.6999,431.3499,731.3499,300.0,1,16000
413,596.2,148.1,448.1,300.0,1,16000
414,558.7999,129.4,429.4,300.0,1,16000
415,396.4,48.2,348.2,300.0001,1,16000
416,493.3,96.65,396.65,300.0,1,16000
417,451.4999,75.75,375.75,300.0,1,16000
418,606.9,153.45,453.45,300.0,1,16000
419,649.7,174.85,474.85,300.0,1,16000
420,403.8999,51.95,351.95,300.0,1,16000
421,410.8001,55.4,355.4,300.0,1,16000
422,804.1,252.05,552.05,300.0001,1,16000
423,479.3,89.65,389.65,300.0,1,16000
424,1851.7001,775.8501,1075.8501,300.0,1,16000
425,1788.0001,744.0,1044.0,300.0,1,16000
426,1276.9001,488.45,788.45,300.0,1,16000
427,357.6,28.8,328.8,300.0,1,16000
428,259.0,0.0,259.0,259.0,0,16000
429,409.7001,54.85,354.85,300.0,1,16000
430,1349.6001,524.8,824.8,300.0,1,16000
431,350.8,25.4,325.4,300.0,1,16000
432,415.5,57.75,357.75,300.0,1,16000
433,340.5001,20.25,320.25,300.0,1,16000
434,864.3999,282.2,582.2,300.0,1,16000
435,500.4001,100.2,400.2,300.0,1,16000
436,1050.8001,375.4,675.4,300.0,1,16000
437,485.9001,92.95,392.95,300.0,1,16000
438,2536.8,1118.4,1418.4,300.0,1,16000
439,987.8001,343.9,643.9,300.0,1,16000
440,724.6001,212.3,512.3,300.0,1,16000
441,323.7001,11.85,311.85,300.0,1,16000
442,1488.2999,594.15,894.15,300.0,1,16000
443,193.4,0.0,193.4,193.4,0,16000
444,962.2001,331.1,631.1,300.0,1,16000
445,360.6001,30.3,330.3,300.0,1,16000
446,665.0,182.5,482.5,300.0,1,16000
447,462.0,81.0,381.0,300.0,1,16000
448,2054.3001,877.15,1177.15,300.0,1,16000
449,1787.5999,743.8,1043.8,300.0,1,16000
450,787.4,243.7,543.7,300.0,1,16000
451,685.7,192.85,492.85,300.0,1,16000
452,1083.5999,391.7999,691.7999,300.0,1,16000
453,1491.5001,595.75,895.75,300.0,1,16000
454,1032.2001,366.1,666.1,300.0,1,16000
455,1173.0,436.5,736.5,300.0,1,16000
456,508.7,104.35,404.35,300.0,1,16000
457,1406.9,553.45,853.45,300.0,1,16000
458,580.3,140.15,440.15,300.0001,1,16000
459,384.6,42.3,342.3,300.0,1,16000
461,1207.7,453.85,753.85,300.0,1,16000
462,1612.7001,656.35,956.35,300.0,1,16000
463,386.7999,43.4,343.4,300.0,1,16000
464,658.6999,179.35,479.35,300.0,1,16000
465,1932.9001,816.45,1116.45,300.0,1,16000
466,2586.1999,1143.1,1443.1,300.0,1,16000
467,365.6999,32.85,332.85,300.0,1,16000
468,1413.5001,556.75,856.75,300.0,1,16000
469,639.3999,169.6999,469.6999,300.0001,1,16000
470,1499.0001,599.5,899.5,300.0,1,16000
471,1627.2001,663.6,963.6,300.0,1,16000
472,397.8,48.9,348.9,300.0,1,16000
473,101.1,0.0,101.1,101.1,0,16000
474,1442.5001,571.25,871.25,300.0,1,16000
475,224.5999,0.0,224.5999,224.5999,0,16000
476,785.6,242.8,542.8,300.0001,1,16000
477,829.6001,264.8,564.8,300.0,1,16000
478,1305.6,502.8,802.8,300.0001,1,16000
479,256.0001,0.0,256.0001,256.0001,0,16000
480,1205.3001,452.65,752.65,300.0,1,16000
481,656.3,178.15,478.15,300.0001,1,16000
482,1589.8,644.9,944.9,300.0,1,16000
483,2384.2001,1042.1001,1342.1001,300.0001,1,16000
484,573.5999,136.8,436.8,300.0,1,16000
485,212.4001,0.0,212.4001,212.4001,0,16000
486,298.2001,0.0,298.2001,298.2001,0,16000
487,692.0001,196.0,496.0,300.0,1,16000
488,455.5,77.75,377.75,300.0,1,16000
489,842.8,271.4,571.4,300.0,1,16000
490,193.5999,0.0,193.5999,193.5999,0,16000
491,1268.9999,484.5,784.5,300.0,1,16000
492,1447.4,573.7,873.7,300.0,1,16000
600,98.1999,0.0,98.1999,98.1999,0,16000
601,139.5,0.0,139.5,139.5,0,16000
602,1092.8,396.4,696.4,300.0,1,16000
603,2052.4001,876.2,1176.2,300.0,1,48000
604,117.9999,0.0,117.9999,117.9999,0,16000
605,208.5,0.0,208.5,208.5,0,16000
606,65.9001,0.0,65.9001,65.9001,0,16000
607,220.3001,0.0,220.3001,220.3001,0,16000
608,653.4002,176.7001,476.7001,300.0,1,16000
609,740.6999,220.35,520.35,300.0,1,48000
612,286.5,0.0,286.5,286.5,0,16000
615,573.3999,136.7,436.7,300.0,1,16000
617,591.8,145.9,445.9,300.0001,1,16000
618,139.2001,0.0,139.2001,139.2001,0,16000
619,556.5,128.25,428.25,300.0,1,16000
620,393.2,46.6,346.6,300.0,1,48000
622,320.4001,10.2,310.2,300.0,1,48000
623,725.6998,212.8499,512.8499,300.0,1,48000
624,165.4999,0.0,165.4999,165.4999,0,16000
625,566.4,133.2,433.2,300.0,1,48000
626,89.8,0.0,89.8,89.8,0,16000
627,572.1999,136.0999,436.0999,300.0,1,16000
628,562.1,131.05,431.05,300.0,1,16000
629,737.4999,218.75,518.75,300.0,1,48000
631,675.9,187.95,487.95,300.0,1,16000
632,581.2001,140.6,440.6,300.0,1,48000
633,1113.7999,406.9,706.9,300.0,1,48000
634,377.1,38.55,338.55,300.0,1,48000
