clip,spk,noise_floor_before,snr_before,centroid_before,rolloff_before,tilt_before,noise_floor_after,snr_after,centroid_after,rolloff_after,tilt_after,nf_err_db,tilt_err_db_per_khz,enc_probe_oof_before,enc_probe_oof_after,fivefeat_oof_before,fivefeat_oof_after
AVPEPUDEAC0001_readtext.wav,AVPEPUDEAC0001,-67.276514,41.031814,783.920845,1317.857143,-1.490867,-40.896349,19.765105,3062.845786,5642.857143,-0.821938,0.2361,0.02817,0.047314777970314026,0.011323929764330387,0.4961017536716565,0.45008212347706605
AVPEPUDEAC0003_readtext.wav,AVPEPUDEAC0003,-68.283107,41.611527,873.097569,1540.625000,-1.731420,-40.935927,19.534802,3083.660650,5673.161765,-0.813363,0.2175,0.03675,0.9668401479721069,0.19358737766742706,0.4505648312022378,0.446514565986847
AVPEPUDEAC0004_readtext.wav,AVPEPUDEAC0004,-69.808319,42.331218,1072.809561,2218.567251,-1.361932,-40.823664,20.401066,3094.559585,5735.562865,-0.784709,0.3235,0.06540,0.6605886816978455,0.3603896498680115,0.4662510537344991,0.4272547059513395
AVPEPUDEAC0005_readtext.wav,AVPEPUDEAC0005,-64.986763,51.951113,693.355111,1168.836806,-2.421637,-40.843292,20.763130,3106.125969,5724.392361,-0.780468,0.3290,0.06964,0.18017174303531647,2.0202040104777552e-05,0.5448768520744859,0.43627121388588125
AVPEPUDEAC0006_readtext.wav,AVPEPUDEAC0006,-69.548949,42.448095,1124.382168,2306.706461,-1.897416,-40.874529,19.789906,3070.410642,5639.044944,-0.821788,0.2710,0.02832,0.05342881754040718,0.002960053738206625,0.4532719771720925,0.4216911463408613
AVPEPUDEAC0007_readtext.wav,AVPEPUDEAC0007,-71.685106,48.436955,1370.942795,3244.874339,-1.143467,-40.948448,18.561858,3090.669379,5690.806878,-0.796348,0.2032,0.05376,0.5854240655899048,0.011124556884169579,0.5683792049408188,0.4800759981861791
AVPEPUDEAC0008_readtext.wav,AVPEPUDEAC0008,-69.345549,45.819728,1023.236860,2119.413408,-1.336696,-40.881226,20.140194,3079.852471,5696.229050,-0.804674,0.2693,0.04543,0.09708331525325775,0.01015996653586626,0.4903048262254301,0.4422571689026413
AVPEPUDEAC0010_readtext.wav,AVPEPUDEAC0010,-65.874341,40.938401,1047.190493,1956.668814,-2.194358,-40.765276,19.827857,3076.103639,5716.172680,-0.798024,0.3599,0.05208,0.18464286625385284,0.023530643433332443,0.5320603966715796,0.4369531979102287
AVPEPUDEAC0011_readtext.wav,AVPEPUDEAC0011,-75.511414,38.474862,950.790087,1881.882440,-1.420697,-40.804589,20.277439,3117.533623,5733.630952,-0.773078,0.3231,0.07703,0.819412112236023,0.929520845413208,0.3011157008343079,0.4361756652326501
AVPEPUDEAC0012_readtext.wav,AVPEPUDEAC0012,-74.007938,41.882585,1355.257229,3075.431034,-1.915227,-40.888316,20.286044,3091.250362,5667.205460,-0.796760,0.2689,0.05335,0.4854736626148224,1.6645959476591088e-05,0.45449511240811735,0.4284338868114245
AVPEPUDEAC0013_readtext.wav,AVPEPUDEAC0013,-73.189489,33.184146,1373.368929,2919.612069,-2.634190,-40.609830,20.323416,3058.045490,5704.094828,-0.812134,0.3949,0.03797,0.5332146883010864,0.9888306260108948,0.4776832785969209,0.4662983693089493
AVPEPUDEAC0014_readtext.wav,AVPEPUDEAC0014,-75.621008,37.706859,1112.282084,2424.839744,-1.395015,-40.934806,18.532923,3110.747492,5732.692308,-0.779327,0.1688,0.07078,0.030749531462788582,0.16800808906555176,0.35519905070448454,0.4736083853119488
AVPEPUDEAC0015_readtext.wav,AVPEPUDEAC0015,-73.722221,37.978804,1154.427473,2494.889937,-2.142391,-40.672273,20.319290,3068.687598,5681.014151,-0.814369,0.4505,0.03574,0.0009491298114880919,0.002455350011587143,0.4302273269064474,0.4362202253138585
AVPEPUDEAC0016_readtext.wav,AVPEPUDEAC0016,-74.836805,41.491618,876.554125,1534.974093,-1.816888,-41.043162,18.437608,3117.846225,5689.119171,-0.781606,0.1173,0.06850,0.0074301729910075665,0.10657592117786407,0.3162539334661886,0.3966110485437299
AVPEPUDEAC0017_readtext.wav,AVPEPUDEAC0017,-65.761806,30.297628,965.299568,1549.812030,-2.433987,-40.593114,20.360353,3029.415313,5648.731203,-0.843294,0.5028,0.00681,0.10415155440568924,0.012243593111634254,0.5082855089902949,0.4511987564345749
AVPEPUDEAC0018_readtext.wav,AVPEPUDEAC0018,-62.955391,31.347896,651.087905,1004.310345,-2.676300,-40.548252,20.049667,3060.040102,5672.054598,-0.817931,0.3196,0.03218,0.00867176242172718,0.0022591904271394014,0.5746981831012277,0.4755616581648495
AVPEPUDEAC0019_readtext.wav,AVPEPUDEAC0019,-73.037798,39.387094,1643.489470,3381.147541,-1.789098,-40.715423,20.051838,3080.216759,5679.644809,-0.804037,0.3960,0.04607,0.020406238734722137,0.004364546854048967,0.5046911598030561,0.4527704999886365
AVPEPUDEAC0020_readtext.wav,AVPEPUDEAC0020,-72.723554,40.695561,1120.599517,2147.321429,-1.586603,-40.972359,19.314713,3099.892359,5725.446429,-0.782704,0.1567,0.06740,0.022555148229002953,0.005697700195014477,0.39812316536026104,0.4309161693492534
AVPEPUDEAC0021_readtext.wav,AVPEPUDEAC0021,-74.170080,51.536172,1107.482205,2268.960674,-2.085321,-40.820901,20.034904,3054.092498,5653.441011,-0.833833,0.3403,0.01628,0.014485284686088562,0.0007564916159026325,0.4116348209640967,0.4185754424459586
AVPEPUDEAC0022_readtext.wav,AVPEPUDEAC0022,-76.108825,41.231818,1233.774951,2906.250000,-1.117105,-40.903460,19.536633,3084.677132,5689.672460,-0.802158,0.1703,0.04795,0.020509690046310425,0.0010471721179783344,0.34126868125495863,0.41717979077343303
AVPEPUDEAC0023_readtext.wav,AVPEPUDEAC0023,-75.343943,38.572300,1432.946042,3273.097826,-1.474497,-40.776483,19.619269,3045.728852,5644.215839,-0.831260,0.2919,0.01885,0.0015428264159709215,0.001531154033727944,0.43053469932525223,0.46066956210517584
AVPEPUDEAC0024_readtext.wav,AVPEPUDEAC0024,-72.358466,39.377496,1272.369131,2780.325444,-1.662760,-40.709095,20.155638,3084.121549,5693.786982,-0.805387,0.3902,0.04472,0.2982237935066223,0.001974869752302766,0.4787770380298223,0.4496846934678786
AVPEPUDEAC0025_readtext.wav,AVPEPUDEAC0025,-74.798227,44.207572,1227.974339,2689.472087,-1.386966,-40.817210,19.966784,3081.547663,5676.729369,-0.804751,0.3164,0.04536,0.1194474920630455,0.16528965532779694,0.40918915400348704,0.4323147444656685
AVPEPUDEAC0026_readtext.wav,AVPEPUDEAC0026,-72.204693,37.554048,1033.599079,1928.846154,-2.683680,-40.763287,18.192158,3056.656477,5663.942308,-0.820685,0.3762,0.02942,0.10988227277994156,0.2743784189224243,0.4415908621588289,0.40473135034704977
AVPEPUDEAC0027_readtext.wav,AVPEPUDEAC0027,-75.126314,46.625303,1516.629344,3197.660099,-1.997847,-40.908848,20.207701,3103.345932,5718.903941,-0.781282,0.2379,0.06883,0.40026140213012695,0.02426149696111679,0.4339872106179759,0.4270987765131065
AVPEPUDEAC0028_readtext.wav,AVPEPUDEAC0028,-73.221380,47.490191,1078.654021,2157.848011,-2.094733,-40.801850,19.595368,3082.285543,5677.024148,-0.802321,0.3352,0.04779,0.9999324083328247,1.0,0.4958875830433884,0.4682837753250948
AVPEPUDEAC0029_readtext.wav,AVPEPUDEAC0029,-63.659164,32.183309,1043.494385,1709.542411,-3.164507,-40.610570,20.099461,3062.251516,5647.321429,-0.829624,0.5546,0.02048,0.05532727390527725,0.44369933009147644,0.5941990050129254,0.4490795392475457
AVPEPUDEAC0030_readtext.wav,AVPEPUDEAC0030,-87.129133,35.744952,1744.502317,4014.391447,-1.189236,-40.813679,20.000480,3080.569675,5699.629934,-0.795285,0.2367,0.05482,9.118574962485582e-05,0.07684984058141708,0.2670107304979703,0.43286631418908006
