clip,speaker,p_probe,fold
AVPEPUDEAC0001_readtext.flac,AVPEPUDEAC0001,0.047314777970314026,4
AVPEPUDEAC0003_readtext.flac,AVPEPUDEAC0003,0.9668401479721069,3
AVPEPUDEAC0004_readtext.flac,AVPEPUDEAC0004,0.6605886816978455,2
AVPEPUDEAC0005_readtext.flac,AVPEPUDEAC0005,0.18017174303531647,1
AVPEPUDEAC0006_readtext.flac,AVPEPUDEAC0006,0.05342881754040718,0
AVPEPUDEAC0007_readtext.flac,AVPEPUDEAC0007,0.5854240655899048,4
AVPEPUDEAC0008_readtext.flac,AVPEPUDEAC0008,0.09708331525325775,3
AVPEPUDEAC0010_readtext.flac,AVPEPUDEAC0010,0.18464286625385284,2
AVPEPUDEAC0011_readtext.flac,AVPEPUDEAC0011,0.819412112236023,1
AVPEPUDEAC0012_readtext.flac,AVPEPUDEAC0012,0.4854736626148224,0
AVPEPUDEAC0013_readtext.flac,AVPEPUDEAC0013,0.5332146883010864,4
AVPEPUDEAC0014_readtext.flac,AVPEPUDEAC0014,0.030749531462788582,3
AVPEPUDEAC0015_readtext.flac,AVPEPUDEAC0015,0.0009491298114880919,2
AVPEPUDEAC0016_readtext.flac,AVPEPUDEAC0016,0.0074301729910075665,1
AVPEPUDEAC0017_readtext.flac,AVPEPUDEAC0017,0.10415155440568924,0
AVPEPUDEAC0018_readtext.flac,AVPEPUDEAC0018,0.00867176242172718,4
AVPEPUDEAC0019_readtext.flac,AVPEPUDEAC0019,0.020406238734722137,3
AVPEPUDEAC0020_readtext.flac,AVPEPUDEAC0020,0.022555148229002953,2
AVPEPUDEAC0021_readtext.flac,AVPEPUDEAC0021,0.014485284686088562,1
AVPEPUDEAC0022_readtext.flac,AVPEPUDEAC0022,0.020509690046310425,0
AVPEPUDEAC0023_readtext.flac,AVPEPUDEAC0023,0.0015428264159709215,4
AVPEPUDEAC0024_readtext.flac,AVPEPUDEAC0024,0.2982237935066223,3
AVPEPUDEAC0025_readtext.flac,AVPEPUDEAC0025,0.1194474920630455,2
AVPEPUDEAC0026_readtext.flac,AVPEPUDEAC0026,0.10988227277994156,1
AVPEPUDEAC0027_readtext.flac,AVPEPUDEAC0027,0.40026140213012695,0
AVPEPUDEAC0028_readtext.flac,AVPEPUDEAC0028,0.9999324083328247,4
AVPEPUDEAC0029_readtext.flac,AVPEPUDEAC0029,0.05532727390527725,3
AVPEPUDEAC0030_readtext.flac,AVPEPUDEAC0030,9.118574962485582e-05,2
AVPEPUDEAC0031_readtext.flac,AVPEPUDEAC0031,0.0034944042563438416,1
AVPEPUDEAC0033_readtext.flac,AVPEPUDEAC0033,2.2384254407370463e-05,0
AVPEPUDEAC0034_readtext.flac,AVPEPUDEAC0034,2.002135943257599e-06,4
AVPEPUDEAC0035_readtext.flac,AVPEPUDEAC0035,1.2631629033421632e-05,3
AVPEPUDEAC0037_readtext.flac,AVPEPUDEAC0037,0.1050063967704773,2
AVPEPUDEAC0039_readtext.flac,AVPEPUDEAC0039,0.0026956815272569656,1
AVPEPUDEAC0040_readtext.flac,AVPEPUDEAC0040,1.032558884617174e-05,0
AVPEPUDEAC0041_readtext.flac,AVPEPUDEAC0041,2.181437230319716e-05,4
AVPEPUDEAC0042_readtext.flac,AVPEPUDEAC0042,1.1706107443387737e-06,3
AVPEPUDEAC0043_readtext.flac,AVPEPUDEAC0043,0.0865066796541214,2
AVPEPUDEAC0044_readtext.flac,AVPEPUDEAC0044,0.0008791751461103559,1
AVPEPUDEAC0045_readtext.flac,AVPEPUDEAC0045,3.3002986583596794e-06,0
AVPEPUDEAC0046_readtext.flac,AVPEPUDEAC0046,0.0001094178733183071,4
AVPEPUDEAC0047_readtext.flac,AVPEPUDEAC0047,0.004607461392879486,3
AVPEPUDEAC0048_readtext.flac,AVPEPUDEAC0048,0.00021527305943891406,2
AVPEPUDEAC0049_readtext.flac,AVPEPUDEAC0049,0.0012410312192514539,1
AVPEPUDEAC0050_readtext.flac,AVPEPUDEAC0050,1.0313494385627564e-05,0
AVPEPUDEAC0051_readtext.flac,AVPEPUDEAC0051,2.361595215916168e-05,4
AVPEPUDEAC0052_readtext.flac,AVPEPUDEAC0052,0.0006545905489474535,3
AVPEPUDEAC0053_readtext.flac,AVPEPUDEAC0053,3.0897890610503964e-06,2
AVPEPUDEAC0054_readtext.flac,AVPEPUDEAC0054,2.509566229491611e-06,1
AVPEPUDEAC0057_readtext.flac,AVPEPUDEAC0057,1.3968592504909338e-08,0
AVPEPUDEA0001_readtext.flac,AVPEPUDEA0001,0.13007229566574097,4
AVPEPUDEA0002readtext.flac,AVPEPUDEA0002,0.9033663272857666,3
AVPEPUDEA0003_readtext.flac,AVPEPUDEA0003,0.9999977350234985,2
AVPEPUDEA0005_readtext.flac,AVPEPUDEA0005,0.9999992847442627,1
AVPEPUDEA0006_readtext.flac,AVPEPUDEA0006,0.9999693632125854,0
AVPEPUDEA0007_readtext.flac,AVPEPUDEA0007,0.9999873638153076,4
AVPEPUDEA0008_readtext.flac,AVPEPUDEA0008,0.8109036684036255,3
AVPEPUDEA0009_readtext.flac,AVPEPUDEA0009,0.9999920129776001,2
AVPEPUDEA0010_readtext.flac,AVPEPUDEA0010,0.9846046566963196,1
AVPEPUDEA0011_readtext.flac,AVPEPUDEA0011,0.8129119277000427,0
