path,speaker,set,clip
/workspace/p16pod4b/src/adress2020_orig/S001.wav,S001,train,S001.wav
/workspace/p16pod4b/src/adress2020_orig/S002.wav,S002,train,S002.wav
/workspace/p16pod4b/src/adress2020_orig/S003.wav,S003,train,S003.wav
/workspace/p16pod4b/src/adress2020_orig/S004.wav,S004,train,S004.wav
/workspace/p16pod4b/src/adress2020_orig/S005.wav,S005,train,S005.wav
/workspace/p16pod4b/src/adress2020_orig/S006.wav,S006,train,S006.wav
/workspace/p16pod4b/src/adress2020_orig/S007.wav,S007,train,S007.wav
/workspace/p16pod4b/src/adress2020_orig/S009.wav,S009,train,S009.wav
/workspace/p16pod4b/src/adress2020_orig/S011.wav,S011,train,S011.wav
/workspace/p16pod4b/src/adress2020_orig/S012.wav,S012,train,S012.wav
/workspace/p16pod4b/src/adress2020_orig/S013.wav,S013,train,S013.wav
/workspace/p16pod4b/src/adress2020_orig/S015.wav,S015,train,S015.wav
/workspace/p16pod4b/src/adress2020_orig/S016.wav,S016,train,S016.wav
/workspace/p16pod4b/src/adress2020_orig/S017.wav,S017,train,S017.wav
/workspace/p16pod4b/src/adress2020_orig/S018.wav,S018,train,S018.wav
/workspace/p16pod4b/src/adress2020_orig/S019.wav,S019,train,S019.wav
/workspace/p16pod4b/src/adress2020_orig/S020.wav,S020,train,S020.wav
/workspace/p16pod4b/src/adress2020_orig/S021.wav,S021,train,S021.wav
/workspace/p16pod4b/src/adress2020_orig/S024.wav,S024,train,S024.wav
/workspace/p16pod4b/src/adress2020_orig/S025.wav,S025,train,S025.wav
/workspace/p16pod4b/src/adress2020_orig/S027.wav,S027,train,S027.wav
/workspace/p16pod4b/src/adress2020_orig/S028.wav,S028,train,S028.wav
/workspace/p16pod4b/src/adress2020_orig/S029.wav,S029,train,S029.wav
/workspace/p16pod4b/src/adress2020_orig/S030.wav,S030,train,S030.wav
/workspace/p16pod4b/src/adress2020_orig/S032.wav,S032,train,S032.wav
/workspace/p16pod4b/src/adress2020_orig/S033.wav,S033,train,S033.wav
/workspace/p16pod4b/src/adress2020_orig/S034.wav,S034,train,S034.wav
/workspace/p16pod4b/src/adress2020_orig/S035.wav,S035,train,S035.wav
/workspace/p16pod4b/src/adress2020_orig/S036.wav,S036,train,S036.wav
/workspace/p16pod4b/src/adress2020_orig/S038.wav,S038,train,S038.wav
/workspace/p16pod4b/src/adress2020_orig/S039.wav,S039,train,S039.wav
/workspace/p16pod4b/src/adress2020_orig/S040.wav,S040,train,S040.wav
/workspace/p16pod4b/src/adress2020_orig/S041.wav,S041,train,S041.wav
/workspace/p16pod4b/src/adress2020_orig/S043.wav,S043,train,S043.wav
/workspace/p16pod4b/src/adress2020_orig/S048.wav,S048,train,S048.wav
/workspace/p16pod4b/src/adress2020_orig/S049.wav,S049,train,S049.wav
/workspace/p16pod4b/src/adress2020_orig/S051.wav,S051,train,S051.wav
/workspace/p16pod4b/src/adress2020_orig/S052.wav,S052,train,S052.wav
/workspace/p16pod4b/src/adress2020_orig/S055.wav,S055,train,S055.wav
/workspace/p16pod4b/src/adress2020_orig/S056.wav,S056,train,S056.wav
/workspace/p16pod4b/src/adress2020_orig/S058.wav,S058,train,S058.wav
/workspace/p16pod4b/src/adress2020_orig/S059.wav,S059,train,S059.wav
/workspace/p16pod4b/src/adress2020_orig/S061.wav,S061,train,S061.wav
/workspace/p16pod4b/src/adress2020_orig/S062.wav,S062,train,S062.wav
/workspace/p16pod4b/src/adress2020_orig/S063.wav,S063,train,S063.wav
/workspace/p16pod4b/src/adress2020_orig/S064.wav,S064,train,S064.wav
/workspace/p16pod4b/src/adress2020_orig/S067.wav,S067,train,S067.wav
/workspace/p16pod4b/src/adress2020_orig/S068.wav,S068,train,S068.wav
/workspace/p16pod4b/src/adress2020_orig/S070.wav,S070,train,S070.wav
/workspace/p16pod4b/src/adress2020_orig/S071.wav,S071,train,S071.wav
/workspace/p16pod4b/src/adress2020_orig/S072.wav,S072,train,S072.wav
/workspace/p16pod4b/src/adress2020_orig/S073.wav,S073,train,S073.wav
/workspace/p16pod4b/src/adress2020_orig/S076.wav,S076,train,S076.wav
/workspace/p16pod4b/src/adress2020_orig/S077.wav,S077,train,S077.wav
/workspace/p16pod4b/src/adress2020_orig/S079.wav,S079,train,S079.wav
/workspace/p16pod4b/src/adress2020_orig/S080.wav,S080,train,S080.wav
/workspace/p16pod4b/src/adress2020_orig/S081.wav,S081,train,S081.wav
/workspace/p16pod4b/src/adress2020_orig/S082.wav,S082,train,S082.wav
/workspace/p16pod4b/src/adress2020_orig/S083.wav,S083,train,S083.wav
/workspace/p16pod4b/src/adress2020_orig/S084.wav,S084,train,S084.wav
/workspace/p16pod4b/src/adress2020_orig/S086.wav,S086,train,S086.wav
/workspace/p16pod4b/src/adress2020_orig/S087.wav,S087,train,S087.wav
/workspace/p16pod4b/src/adress2020_orig/S089.wav,S089,train,S089.wav
/workspace/p16pod4b/src/adress2020_orig/S090.wav,S090,train,S090.wav
/workspace/p16pod4b/src/adress2020_orig/S092.wav,S092,train,S092.wav
/workspace/p16pod4b/src/adress2020_orig/S093.wav,S093,train,S093.wav
/workspace/p16pod4b/src/adress2020_orig/S094.wav,S094,train,S094.wav
/workspace/p16pod4b/src/adress2020_orig/S095.wav,S095,train,S095.wav
/workspace/p16pod4b/src/adress2020_orig/S096.wav,S096,train,S096.wav
/workspace/p16pod4b/src/adress2020_orig/S097.wav,S097,train,S097.wav
/workspace/p16pod4b/src/adress2020_orig/S100.wav,S100,train,S100.wav
/workspace/p16pod4b/src/adress2020_orig/S101.wav,S101,train,S101.wav
/workspace/p16pod4b/src/adress2020_orig/S103.wav,S103,train,S103.wav
/workspace/p16pod4b/src/adress2020_orig/S104.wav,S104,train,S104.wav
/workspace/p16pod4b/src/adress2020_orig/S107.wav,S107,train,S107.wav
/workspace/p16pod4b/src/adress2020_orig/S108.wav,S108,train,S108.wav
/workspace/p16pod4b/src/adress2020_orig/S110.wav,S110,train,S110.wav
/workspace/p16pod4b/src/adress2020_orig/S111.wav,S111,train,S111.wav
/workspace/p16pod4b/src/adress2020_orig/S114.wav,S114,train,S114.wav
/workspace/p16pod4b/src/adress2020_orig/S116.wav,S116,train,S116.wav
/workspace/p16pod4b/src/adress2020_orig/S118.wav,S118,train,S118.wav
/workspace/p16pod4b/src/adress2020_orig/S122.wav,S122,train,S122.wav
/workspace/p16pod4b/src/adress2020_orig/S124.wav,S124,train,S124.wav
/workspace/p16pod4b/src/adress2020_orig/S125.wav,S125,train,S125.wav
/workspace/p16pod4b/src/adress2020_orig/S126.wav,S126,train,S126.wav
/workspace/p16pod4b/src/adress2020_orig/S127.wav,S127,train,S127.wav
/workspace/p16pod4b/src/adress2020_orig/S128.wav,S128,train,S128.wav
/workspace/p16pod4b/src/adress2020_orig/S129.wav,S129,train,S129.wav
/workspace/p16pod4b/src/adress2020_orig/S130.wav,S130,train,S130.wav
/workspace/p16pod4b/src/adress2020_orig/S132.wav,S132,train,S132.wav
/workspace/p16pod4b/src/adress2020_orig/S135.wav,S135,train,S135.wav
/workspace/p16pod4b/src/adress2020_orig/S136.wav,S136,train,S136.wav
/workspace/p16pod4b/src/adress2020_orig/S137.wav,S137,train,S137.wav
/workspace/p16pod4b/src/adress2020_orig/S138.wav,S138,train,S138.wav
/workspace/p16pod4b/src/adress2020_orig/S139.wav,S139,train,S139.wav
/workspace/p16pod4b/src/adress2020_orig/S140.wav,S140,train,S140.wav
/workspace/p16pod4b/src/adress2020_orig/S141.wav,S141,train,S141.wav
/workspace/p16pod4b/src/adress2020_orig/S142.wav,S142,train,S142.wav
/workspace/p16pod4b/src/adress2020_orig/S143.wav,S143,train,S143.wav
/workspace/p16pod4b/src/adress2020_orig/S144.wav,S144,train,S144.wav
/workspace/p16pod4b/src/adress2020_orig/S145.wav,S145,train,S145.wav
/workspace/p16pod4b/src/adress2020_orig/S148.wav,S148,train,S148.wav
/workspace/p16pod4b/src/adress2020_orig/S149.wav,S149,train,S149.wav
/workspace/p16pod4b/src/adress2020_orig/S150.wav,S150,train,S150.wav
/workspace/p16pod4b/src/adress2020_orig/S151.wav,S151,train,S151.wav
/workspace/p16pod4b/src/adress2020_orig/S153.wav,S153,train,S153.wav
/workspace/p16pod4b/src/adress2020_orig/S154.wav,S154,train,S154.wav
/workspace/p16pod4b/src/adress2020_orig/S156.wav,S156,train,S156.wav
/workspace/p16pod4b/src/adress2020_orig/S160.wav,S160,test,S160.wav
/workspace/p16pod4b/src/adress2020_orig/S161.wav,S161,test,S161.wav
/workspace/p16pod4b/src/adress2020_orig/S162.wav,S162,test,S162.wav
/workspace/p16pod4b/src/adress2020_orig/S163.wav,S163,test,S163.wav
/workspace/p16pod4b/src/adress2020_orig/S164.wav,S164,test,S164.wav
/workspace/p16pod4b/src/adress2020_orig/S165.wav,S165,test,S165.wav
/workspace/p16pod4b/src/adress2020_orig/S166.wav,S166,test,S166.wav
/workspace/p16pod4b/src/adress2020_orig/S167.wav,S167,test,S167.wav
/workspace/p16pod4b/src/adress2020_orig/S168.wav,S168,test,S168.wav
/workspace/p16pod4b/src/adress2020_orig/S169.wav,S169,test,S169.wav
/workspace/p16pod4b/src/adress2020_orig/S170.wav,S170,test,S170.wav
/workspace/p16pod4b/src/adress2020_orig/S171.wav,S171,test,S171.wav
/workspace/p16pod4b/src/adress2020_orig/S172.wav,S172,test,S172.wav
/workspace/p16pod4b/src/adress2020_orig/S173.wav,S173,test,S173.wav
/workspace/p16pod4b/src/adress2020_orig/S174.wav,S174,test,S174.wav
/workspace/p16pod4b/src/adress2020_orig/S175.wav,S175,test,S175.wav
/workspace/p16pod4b/src/adress2020_orig/S176.wav,S176,test,S176.wav
/workspace/p16pod4b/src/adress2020_orig/S177.wav,S177,test,S177.wav
/workspace/p16pod4b/src/adress2020_orig/S178.wav,S178,test,S178.wav
/workspace/p16pod4b/src/adress2020_orig/S179.wav,S179,test,S179.wav
/workspace/p16pod4b/src/adress2020_orig/S180.wav,S180,test,S180.wav
/workspace/p16pod4b/src/adress2020_orig/S181.wav,S181,test,S181.wav
/workspace/p16pod4b/src/adress2020_orig/S182.wav,S182,test,S182.wav
/workspace/p16pod4b/src/adress2020_orig/S183.wav,S183,test,S183.wav
/workspace/p16pod4b/src/adress2020_orig/S184.wav,S184,test,S184.wav
/workspace/p16pod4b/src/adress2020_orig/S185.wav,S185,test,S185.wav
/workspace/p16pod4b/src/adress2020_orig/S186.wav,S186,test,S186.wav
/workspace/p16pod4b/src/adress2020_orig/S187.wav,S187,test,S187.wav
/workspace/p16pod4b/src/adress2020_orig/S188.wav,S188,test,S188.wav
/workspace/p16pod4b/src/adress2020_orig/S189.wav,S189,test,S189.wav
/workspace/p16pod4b/src/adress2020_orig/S190.wav,S190,test,S190.wav
/workspace/p16pod4b/src/adress2020_orig/S191.wav,S191,test,S191.wav
/workspace/p16pod4b/src/adress2020_orig/S192.wav,S192,test,S192.wav
/workspace/p16pod4b/src/adress2020_orig/S193.wav,S193,test,S193.wav
/workspace/p16pod4b/src/adress2020_orig/S194.wav,S194,test,S194.wav
/workspace/p16pod4b/src/adress2020_orig/S195.wav,S195,test,S195.wav
/workspace/p16pod4b/src/adress2020_orig/S196.wav,S196,test,S196.wav
/workspace/p16pod4b/src/adress2020_orig/S197.wav,S197,test,S197.wav
/workspace/p16pod4b/src/adress2020_orig/S198.wav,S198,test,S198.wav
/workspace/p16pod4b/src/adress2020_orig/S199.wav,S199,test,S199.wav
/workspace/p16pod4b/src/adress2020_orig/S200.wav,S200,test,S200.wav
/workspace/p16pod4b/src/adress2020_orig/S201.wav,S201,test,S201.wav
/workspace/p16pod4b/src/adress2020_orig/S202.wav,S202,test,S202.wav
/workspace/p16pod4b/src/adress2020_orig/S203.wav,S203,test,S203.wav
/workspace/p16pod4b/src/adress2020_orig/S204.wav,S204,test,S204.wav
/workspace/p16pod4b/src/adress2020_orig/S205.wav,S205,test,S205.wav
/workspace/p16pod4b/src/adress2020_orig/S206.wav,S206,test,S206.wav
/workspace/p16pod4b/src/adress2020_orig/S207.wav,S207,test,S207.wav
