path,speaker,set,clip
/workspace/p16pod4b/cuts/adresso/paronly/adrso002.wav,adrso002,adresso_train,adrso002.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso003.wav,adrso003,adresso_train,adrso003.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso005.wav,adrso005,adresso_train,adrso005.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso007.wav,adrso007,adresso_train,adrso007.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso008.wav,adrso008,adresso_train,adrso008.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso010.wav,adrso010,adresso_train,adrso010.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso012.wav,adrso012,adresso_train,adrso012.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso014.wav,adrso014,adresso_train,adrso014.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso015.wav,adrso015,adresso_train,adrso015.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso016.wav,adrso016,adresso_train,adrso016.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso017.wav,adrso017,adresso_train,adrso017.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso024.wav,adrso024,adresso_train,adrso024.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso025.wav,adrso025,adresso_train,adrso025.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso027.wav,adrso027,adresso_train,adrso027.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso028.wav,adrso028,adresso_train,adrso028.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso031.wav,adrso031,adresso_train,adrso031.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso032.wav,adrso032,adresso_train,adrso032.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso033.wav,adrso033,adresso_train,adrso033.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso035.wav,adrso035,adresso_train,adrso035.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso036.wav,adrso036,adresso_train,adrso036.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso039.wav,adrso039,adresso_train,adrso039.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso043.wav,adrso043,adresso_train,adrso043.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso045.wav,adrso045,adresso_train,adrso045.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso046.wav,adrso046,adresso_train,adrso046.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso047.wav,adrso047,adresso_train,adrso047.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso049.wav,adrso049,adresso_train,adrso049.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso053.wav,adrso053,adresso_train,adrso053.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso054.wav,adrso054,adresso_train,adrso054.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso055.wav,adrso055,adresso_train,adrso055.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso056.wav,adrso056,adresso_train,adrso056.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso059.wav,adrso059,adresso_train,adrso059.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso060.wav,adrso060,adresso_train,adrso060.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso063.wav,adrso063,adresso_train,adrso063.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso068.wav,adrso068,adresso_train,adrso068.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso070.wav,adrso070,adresso_train,adrso070.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso071.wav,adrso071,adresso_train,adrso071.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso072.wav,adrso072,adresso_train,adrso072.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso074.wav,adrso074,adresso_train,adrso074.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso075.wav,adrso075,adresso_train,adrso075.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso077.wav,adrso077,adresso_train,adrso077.wav
/workspace/p16pod4b/cuts/adresso/paronly/adrso078.wav,adrso078,adresso_train,adrso078.wav
