clip,orig_clip_id,speaker,set,p_yes,answer_mass
conflict_Con_015-0_67805.wav,conflict_Con_015-0_67805.wav,Control015,conflict,0.43781683634282226,0.9995225369930267
conflict_Con_015-1_4987.wav,conflict_Con_015-1_4987.wav,Control015,conflict,0.09535218859089968,0.9996568113565445
conflict_Con_015-1_60159.wav,conflict_Con_015-1_60159.wav,Control015,conflict,0.32081437277137814,0.9994065761566162
conflict_Con_017-4_6597.wav,conflict_Con_017-4_6597.wav,Control017,conflict,0.13296454450821296,0.9996390789747238
conflict_Con_021-1_38448.wav,conflict_Con_021-1_38448.wav,Control021,conflict,0.09535217916274083,0.9995217323303223
conflict_Con_034-1_7639.wav,conflict_Con_034-1_7639.wav,Control034,conflict,0.29420341688074086,0.9993606507778168
conflict_Con_034-4_46285.wav,conflict_Con_034-4_46285.wav,Control034,conflict,0.4378035806128239,0.9995668232440948
conflict_Con_042-2_2251.wav,conflict_Con_042-2_2251.wav,Control042,conflict,0.10669322047709719,0.9996804744005203
conflict_Con_045-0_35325.wav,conflict_Con_045-0_35325.wav,Control045,conflict,0.6791636446482017,0.9993219375610352
conflict_Con_045-2_39349.wav,conflict_Con_045-2_39349.wav,Control045,conflict,0.6513274067132352,0.999508798122406
conflict_Con_052-0_3822.wav,conflict_Con_052-0_3822.wav,Control052,conflict,0.32080991160154565,0.9994979500770569
conflict_Con_068-0_1810.wav,conflict_Con_068-0_1810.wav,Control068,conflict,0.49999093523563837,0.9994640946388245
conflict_Con_068-2_6578.wav,conflict_Con_068-2_6578.wav,Control068,conflict,0.32081326808410754,0.9994199573993683
conflict_Con_068-3_1311.wav,conflict_Con_068-3_1311.wav,Control068,conflict,0.201817833695798,0.9995216578245163
conflict_Con_071-1_2091.wav,conflict_Con_071-1_2091.wav,Control071,conflict,0.26893844558849184,0.9995428025722504
conflict_Con_073-3_37636.wav,conflict_Con_073-3_37636.wav,Control073,conflict,0.8519298545363639,0.9997938722372055
conflict_Con_086-0_37577.wav,conflict_Con_086-0_37577.wav,Control086,conflict,0.562163754919776,0.9990737736225128
conflict_Con_086-0_5140.wav,conflict_Con_086-0_5140.wav,Control086,conflict,0.37752618012098077,0.99918994307518
conflict_Con_105-2_38053.wav,conflict_Con_105-2_38053.wav,Control105,conflict,0.37752805262359435,0.9992617964744568
conflict_Con_121-0_64117.wav,conflict_Con_121-0_64117.wav,Control121,conflict,0.4073276475775824,0.9994743168354034
conflict_Con_121-1_32497.wav,conflict_Con_121-1_32497.wav,Control121,conflict,0.2689295422308697,0.9991970062255859
conflict_Con_124-1_36933.wav,conflict_Con_124-1_36933.wav,Control124,conflict,0.49999716736400857,0.9995005130767822
conflict_Con_128-3_800.wav,conflict_Con_128-3_800.wav,Control128,conflict,0.012432434069210078,0.9998903730884194
conflict_Con_139-0_36206.wav,conflict_Con_139-0_36206.wav,Control139,conflict,0.26894327509994836,0.9995125532150269
conflict_Con_140-0_35581.wav,conflict_Con_140-0_35581.wav,Control140,conflict,0.29421674913335577,0.999428004026413
conflict_Con_141-1_1470.wav,conflict_Con_141-1_1470.wav,Control141,conflict,0.13296332199200483,0.9996171146631241
conflict_Con_158-3_2170.wav,conflict_Con_158-3_2170.wav,Control158,conflict,0.1645142737391371,0.9996101558208466
conflict_Con_192-0_820.wav,conflict_Con_192-0_820.wav,Control192,conflict,0.1824147966462666,0.9991744756698608
conflict_Con_209-2_2013.wav,conflict_Con_209-2_2013.wav,Control209,conflict,0.1329712124479128,0.9995807707309723
conflict_Con_210-1_35543.wav,conflict_Con_210-1_35543.wav,Control210,conflict,0.7310421236111775,0.9995763003826141
conflict_Con_225-0_4203.wav,conflict_Con_225-0_4203.wav,Control225,conflict,0.26894025203016225,0.999567449092865
conflict_Con_227-0_460.wav,conflict_Con_227-0_460.wav,Control227,conflict,0.22269770139038456,0.9994783699512482
conflict_Con_229-1_1420.wav,conflict_Con_229-1_1420.wav,Control229,conflict,0.4687719393456585,0.999397486448288
conflict_Con_229-2_390.wav,conflict_Con_229-2_390.wav,Control229,conflict,0.5311938778256042,0.9992578029632568
conflict_Con_242-2_64112.wav,conflict_Con_242-2_64112.wav,Control242,conflict,0.7981700999571454,0.999562606215477
conflict_Con_243-0_73861.wav,conflict_Con_243-0_73861.wav,Control243,conflict,0.06754862170558874,0.9997533112764359
conflict_Con_245-2_25300.wav,conflict_Con_245-2_25300.wav,Control245,conflict,0.3486245421001618,0.999377965927124
conflict_Con_256-1_5587.wav,conflict_Con_256-1_5587.wav,Control256,conflict,0.7057780515765323,0.9994597733020782
conflict_Con_280-2_9925.wav,conflict_Con_280-2_9925.wav,Control280,conflict,0.3486414753689569,0.9995366334915161
conflict_Con_297-2_1520.wav,conflict_Con_297-2_1520.wav,Control297,conflict,0.3207980631148038,0.9995834529399872
conflict_Con_302-0_7124.wav,conflict_Con_302-0_7124.wav,Control302,conflict,0.24508174166168456,0.9994850009679794
conflict_Con_323-0_39906.wav,conflict_Con_323-0_39906.wav,Control323,conflict,0.7310541523574726,0.9995577335357666
conflict_Con_332-0_120.wav,conflict_Con_332-0_120.wav,Control332,conflict,0.4687632869762775,0.999244213104248
conflict_Con_691-0_2463.wav,conflict_Con_691-0_2463.wav,Control691,conflict,0.18242989971574577,0.9996730834245682
conflict_Con_709-2_760.wav,conflict_Con_709-2_760.wav,Control709,conflict,0.2227048057035184,0.9993698745965958
conflict_Dem_003-0_145294.wav,conflict_Dem_003-0_145294.wav,Dementia003,conflict,0.24508537340057363,0.9994830191135406
conflict_Dem_003-0_6255.wav,conflict_Dem_003-0_6255.wav,Dementia003,conflict,0.2942103554537858,0.9994474947452545
conflict_Dem_003-0_76644.wav,conflict_Dem_003-0_76644.wav,Dementia003,conflict,0.18242830037678537,0.9996092319488525
conflict_Dem_007-1_15997.wav,conflict_Dem_007-1_15997.wav,Dementia007,conflict,0.7057603662306685,0.9994494318962097
conflict_Dem_007-3_4014.wav,conflict_Dem_007-3_4014.wav,Dementia007,conflict,0.22269568848628155,0.9994892776012421
