clip,speaker,fold,p_tfidf
300.wav,300,4,0.38919077553145165
301.wav,301,1,0.48447822456523937
302.wav,302,0,0.48444426228700754
303.wav,303,4,0.3751756829949624
304.wav,304,3,0.48607285461904043
305.wav,305,2,0.4331218404954076
306.wav,306,1,0.46683866104880734
307.wav,307,0,0.4249646169767378
308.wav,308,4,0.5495855272590864
309.wav,309,3,0.4701658795154278
310.wav,310,2,0.45230022278509796
311.wav,311,1,0.5693787231423654
312.wav,312,0,0.4171147087751354
313.wav,313,4,0.46408656617774735
314.wav,314,3,0.4277666029822887
315.wav,315,2,0.46737649613847376
316.wav,316,1,0.5074646321541547
317.wav,317,0,0.47072521550578866
318.wav,318,1,0.41863630298534266
319.wav,319,2,0.4000710045455694
320.wav,320,3,0.49653737192444825
321.wav,321,4,0.5703332965513742
322.wav,322,0,0.4234610549951784
323.wav,323,1,0.4662654732954668
324.wav,324,0,0.3977829919974823
325.wav,325,2,0.4697253699993972
326.wav,326,4,0.38577281221559667
327.wav,327,0,0.5077596454901413
328.wav,328,1,0.4643359156672268
329.wav,329,2,0.485946245903151
330.wav,330,3,0.4350060817256082
331.wav,331,4,0.517996343959969
332.wav,332,2,0.4193807011845366
333.wav,333,3,0.44781174405891155
334.wav,334,4,0.4698887020576246
335.wav,335,1,0.42490238690981197
336.wav,336,0,0.5214314274192026
337.wav,337,4,0.4566688826033637
338.wav,338,3,0.45325567771867054
339.wav,339,2,0.48310041236748064
340.wav,340,1,0.47315522817257144
341.wav,341,0,0.4713376123046711
343.wav,343,4,0.4777953774449541
344.wav,344,3,0.5407334751214571
345.wav,345,2,0.44552447540833134
346.wav,346,1,0.5653222526607126
347.wav,347,0,0.5125076626423697
348.wav,348,4,0.4883273215012608
349.wav,349,3,0.5342555571433075
350.wav,350,2,0.5081961825964423
351.wav,351,0,0.5027064325240911
352.wav,352,0,0.4875912298409752
353.wav,353,4,0.46530059795854095
354.wav,354,3,0.5092942797626375
355.wav,355,2,0.43599558259193955
356.wav,356,1,0.44291952779496435
357.wav,357,0,0.5020411349982571
358.wav,358,4,0.4341096600186029
359.wav,359,3,0.5057710326827376
360.wav,360,2,0.485263926971126
361.wav,361,1,0.39301267163354703
362.wav,362,0,0.5188690569577558
363.wav,363,4,0.45097134228388974
364.wav,364,3,0.41025135852169814
365.wav,365,2,0.3833808645505405
366.wav,366,1,0.4372194492415467
367.wav,367,3,0.4721669340134354
368.wav,368,3,0.3858445130748869
369.wav,369,4,0.39000491084678257
370.wav,370,2,0.2773082960524707
371.wav,371,2,0.4656696261747652
372.wav,372,1,0.5159990772603982
373.wav,373,0,0.43348538513976
374.wav,374,4,0.38529419886625516
375.wav,375,3,0.4604127673797539
376.wav,376,2,0.4365594202527579
377.wav,377,1,0.48119162432526247
378.wav,378,0,0.43753546379156133
379.wav,379,4,0.3667010836524268
380.wav,380,3,0.41129283389189863
381.wav,381,2,0.451613820264106
382.wav,382,1,0.39283071683264703
383.wav,383,0,0.42516421414784544
384.wav,384,4,0.5150847790207789
385.wav,385,3,0.44038419311650523
386.wav,386,2,0.31418357280626913
387.wav,387,1,0.39768789883313554
388.wav,388,2,0.5517987674042671
389.wav,389,3,0.4794776033378536
390.wav,390,4,0.48724076143063083
391.wav,391,0,0.4413088863773742
392.wav,392,1,0.42590402288575074
393.wav,393,2,0.4881052074734089
395.wav,395,1,0.45792563323318614
396.wav,396,3,0.48192108462104477
397.wav,397,0,0.4324545382212684
399.wav,399,1,0.49961767299594423
400.wav,400,2,0.44283103145940395
401.wav,401,3,0.46827680922895143
402.wav,402,4,0.4864390453130367
403.wav,403,0,0.43320962510995065
404.wav,404,3,0.417407040738533
405.wav,405,4,0.4653801245819998
406.wav,406,0,0.4825832774372356
407.wav,407,2,0.4097423235205931
408.wav,408,1,0.450879228984825
409.wav,409,0,0.3768169538124869
410.wav,410,4,0.43191943066364075
411.wav,411,3,0.4124438431110772
412.wav,412,2,0.4078500641953949
413.wav,413,1,0.4190017417378318
414.wav,414,0,0.516185024398333
415.wav,415,4,0.3999339099568619
416.wav,416,3,0.41869256938954813
417.wav,417,2,0.46086464217669093
418.wav,418,1,0.4812642661969785
419.wav,419,0,0.4662268845430532
420.wav,420,4,0.49375093490051286
421.wav,421,3,0.5160264146518192
422.wav,422,1,0.43288496886992833
423.wav,423,1,0.5037617053085168
424.wav,424,0,0.5018257793827315
425.wav,425,4,0.4707062022089474
426.wav,426,3,0.4757901350433959
427.wav,427,2,0.4609155213511488
428.wav,428,1,0.4430544276095344
429.wav,429,0,0.44761464413171725
430.wav,430,4,0.4845415366101897
431.wav,431,3,0.43458315159072486
432.wav,432,2,0.305349648491379
433.wav,433,1,0.535724989371014
434.wav,434,0,0.522309322845769
435.wav,435,4,0.4296666802497067
436.wav,436,3,0.4649511299976863
437.wav,437,2,0.4578944166940152
438.wav,438,1,0.4161173722516099
439.wav,439,4,0.43905020388018384
440.wav,440,2,0.4837816181686485
441.wav,441,2,0.5408580445141792
442.wav,442,4,0.45640090492698854
443.wav,443,3,0.45708896449487996
444.wav,444,2,0.4925914890571039
445.wav,445,1,0.5234017704582509
446.wav,446,0,0.4358566567346662
447.wav,447,4,0.4686729658349779
448.wav,448,3,0.44568484293276756
449.wav,449,2,0.4609047367300773
450.wav,450,1,0.4959433691213226
451.wav,451,0,0.449951900300075
452.wav,452,4,0.45586903780450094
453.wav,453,3,0.502465604906911
454.wav,454,2,0.3888420677476412
455.wav,455,1,0.4953894357336257
456.wav,456,0,0.46852100035432387
457.wav,457,4,0.38085389645849543
458.wav,458,3,0.4353560663615755
459.wav,459,4,0.5419465928653528
461.wav,461,0,0.539211977068623
462.wav,462,1,0.45159523365541687
463.wav,463,2,0.5026542013676182
464.wav,464,3,0.39448360873021626
465.wav,465,4,0.43155990500782543
466.wav,466,3,0.4585779611971269
467.wav,467,0,0.40987064046059557
468.wav,468,2,0.48911851034828513
469.wav,469,3,0.46095492008955535
470.wav,470,4,0.5097414958391258
471.wav,471,0,0.44598654279938515
472.wav,472,1,0.4537082218826671
473.wav,473,2,0.4843784090984458
474.wav,474,0,0.4957873056600558
475.wav,475,1,0.4591179851981387
476.wav,476,2,0.4322934697219237
477.wav,477,4,0.4263028595469411
478.wav,478,3,0.49159613722405027
479.wav,479,2,0.41609155054891317
480.wav,480,1,0.415871080605001
481.wav,481,0,0.4773587409934717
482.wav,482,4,0.4515236707601806
483.wav,483,3,0.4529916779503988
484.wav,484,2,0.5036237787735717
485.wav,485,1,0.4206020866451605
486.wav,486,0,0.43350568221210894
487.wav,487,4,0.36251427038052664
488.wav,488,3,0.4433651118038245
489.wav,489,2,0.4740236019700706
490.wav,490,1,0.4838092620081278
491.wav,491,0,0.5005187266052424
492.wav,492,3,0.446578117420189
600.wav,600,3,0.5133826104618857
601.wav,601,2,0.5508299401803054
602.wav,602,1,0.5392286798253214
603.wav,603,0,0.47519727404707424
604.wav,604,4,0.4418152761343802
605.wav,605,3,0.44660942240621326
606.wav,606,2,0.44181931882453573
607.wav,607,1,0.4773546086402599
608.wav,608,0,0.47089828150669294
609.wav,609,4,0.4664472353563665
612.wav,612,3,0.5153242935857631
615.wav,615,2,0.4335146665621807
617.wav,617,1,0.4157121196175113
618.wav,618,0,0.44869751425812265
619.wav,619,4,0.44127745295701487
620.wav,620,1,0.46136808584666417
622.wav,622,1,0.45200959563951904
623.wav,623,2,0.45652703620289986
624.wav,624,0,0.5603307034252063
625.wav,625,0,0.4363778005634784
626.wav,626,4,0.5029646966399738
627.wav,627,3,0.44721913692387916
628.wav,628,2,0.37314379566126415
629.wav,629,1,0.46346842936518184
631.wav,631,0,0.49670135608045324
632.wav,632,4,0.37898994922284907
633.wav,633,3,0.43961204349372107
634.wav,634,2,0.466333567927876
635.wav,635,1,0.4465333297031671
636.wav,636,0,0.4426171863551916
637.wav,637,4,0.43255939538553434
638.wav,638,3,0.41890185376390576
640.wav,640,2,0.3175592820684114
641.wav,641,1,0.4997817308576261
649.wav,649,0,0.45288911357285416
650.wav,650,4,0.4815746637936563
651.wav,651,0,0.44125698437271066
652.wav,652,1,0.4732547540890876
653.wav,653,2,0.4326152557614607
654.wav,654,3,0.42328225966632255
655.wav,655,4,0.5142133926035798
656.wav,656,0,0.4241982870387436
657.wav,657,4,0.4770885110095231
658.wav,658,1,0.5270985430701424
659.wav,659,3,0.5429491506399677
660.wav,660,4,0.5257704357064471
661.wav,661,0,0.5021685104547065
662.wav,662,1,0.46751354572192894
663.wav,663,2,0.40989561041245615
664.wav,664,3,0.40323686695691907
666.wav,666,1,0.4507665065905782
667.wav,667,2,0.5307284014043191
669.wav,669,3,0.500059080663138
670.wav,670,0,0.45386670399610707
673.wav,673,4,0.3908609092113705
676.wav,676,3,0.35342377464748365
677.wav,677,2,0.5020768735527662
679.wav,679,1,0.4497213463538862
680.wav,680,0,0.4659250490524286
682.wav,682,4,0.44429478105646664
683.wav,683,3,0.48007917829372954
684.wav,684,2,0.5429250379076013
