clip,speaker,arm,is_conflict,is_agreement,score
conflict_301_c000010,301,conflict,True,False,0.085106505230439
conflict_301_c000015,301,conflict,True,False,0.3486312323965184
conflict_302_c000036,302,conflict,True,False,0.5312118364639913
conflict_302_c000040,302,conflict,True,False,0.932446342654634
conflict_303_c000064,303,conflict,True,False,0.5621752412460279
conflict_306_c000146,306,conflict,True,False,0.8807935358721038
conflict_306_c000148,306,conflict,True,False,0.62246069511123
conflict_306_c000149,306,conflict,True,False,0.8354843215081368
conflict_307_c000157,307,conflict,True,False,0.5926526349450842
conflict_307_c000159,307,conflict,True,False,0.2450917407510887
conflict_307_c000162,307,conflict,True,False,0.320813935976848
conflict_307_c000176,307,conflict,True,False,0.3486339731217134
conflict_308_c000181,308,conflict,True,False,0.0066935260545463
conflict_308_c000182,308,conflict,True,False,0.0293148264926292
conflict_308_c000185,308,conflict,True,False,0.4999979872465179
conflict_308_c000186,308,conflict,True,False,0.1480543647333305
conflict_308_c000187,308,conflict,True,False,0.0534057385412692
conflict_311_c000251,311,conflict,True,False,0.2226978458689694
conflict_312_c000260,312,conflict,True,False,0.1824252429164329
conflict_314_c000291,314,conflict,True,False,0.0373273847908169
conflict_314_c000293,314,conflict,True,False,0.0758628477578226
conflict_314_c000296,314,conflict,True,False,0.0124342225950589
conflict_314_c000312,314,conflict,True,False,0.4378312542100968
conflict_314_c000325,314,conflict,True,False,0.029315409509221
conflict_315_c000333,315,conflict,True,False,0.7057307469456995
conflict_315_c000335,315,conflict,True,False,0.5621746378744584
conflict_315_c000337,315,conflict,True,False,0.835462457916004
conflict_315_c000344,315,conflict,True,False,0.979659507445763
conflict_315_c000345,315,conflict,True,False,0.6224456429132144
conflict_318_c000389,318,conflict,True,False,0.2689240683921209
conflict_321_c000428,321,conflict,True,False,0.0040703879852551
conflict_321_c000434,321,conflict,True,False,0.1645269717956146
conflict_321_c000441,321,conflict,True,False,0.2942216347410883
conflict_323_c000475,323,conflict,True,False,0.0075777072661764
conflict_323_c000480,323,conflict,True,False,0.4999863425044275
conflict_327_c000548,327,conflict,True,False,0.1192127675875571
conflict_328_c000562,328,conflict,True,False,0.0259590443659677
conflict_328_c000563,328,conflict,True,False,0.1824306461869494
conflict_328_c000564,328,conflict,True,False,0.0953552957284911
conflict_329_c000589,329,conflict,True,False,0.1824263692002958
conflict_332_c000642,332,conflict,True,False,0.5926331234988054
conflict_332_c000644,332,conflict,True,False,0.9241334991496182
conflict_332_c000649,332,conflict,True,False,0.9890107594081978
conflict_332_c000654,332,conflict,True,False,0.2226962008939547
conflict_332_c000656,332,conflict,True,False,0.0075775488395925
conflict_338_c000810,338,conflict,True,False,0.132968555640726
conflict_338_c000820,338,conflict,True,False,0.0159090368183149
conflict_338_c000821,338,conflict,True,False,0.0474302379421024
conflict_338_c000822,338,conflict,True,False,0.0179875208185471
conflict_338_c000824,338,conflict,True,False,0.0015013231020448
conflict_338_c000825,338,conflict,True,False,0.0097092203295715
conflict_340_c000847,340,conflict,True,False,0.1192064982928376
conflict_345_c000931,345,conflict,True,False,0.0021826982999841
conflict_345_c000932,345,conflict,True,False,0.0330891486793129
conflict_345_c000935,345,conflict,True,False,0.2942155124571337
conflict_345_c000939,345,conflict,True,False,0.1480442211363042
conflict_345_c000940,345,conflict,True,False,0.0052207325010667
conflict_345_c000941,345,conflict,True,False,0.0179885147070792
conflict_345_c000942,345,conflict,True,False,0.0046098723070528
conflict_345_c000947,345,conflict,True,False,0.4378214387039018
conflict_345_c000948,345,conflict,True,False,0.0075779190647062
conflict_345_c000949,345,conflict,True,False,0.6513422600064327
conflict_345_c000952,345,conflict,True,False,0.9820115140779462
conflict_345_c000953,345,conflict,True,False,0.0066929436884046
conflict_346_c000954,346,conflict,True,False,0.0373291750789151
conflict_346_c000956,346,conflict,True,False,0.0293136186795943
conflict_346_c000957,346,conflict,True,False,0.0203335996141539
conflict_346_c000971,346,conflict,True,False,0.1192101638143252
conflict_346_c000972,346,conflict,True,False,0.8354752791728669
conflict_346_c000974,346,conflict,True,False,0.6224454367928173
conflict_346_c000982,346,conflict,True,False,0.4073238988949202
conflict_346_c000983,346,conflict,True,False,0.4378204291440631
conflict_346_c000984,346,conflict,True,False,0.0203316670651572
conflict_346_c000985,346,conflict,True,False,0.4999903664036255
conflict_346_c000986,346,conflict,True,False,0.3208045489036098
conflict_347_c000988,347,conflict,True,False,0.1066944603361251
conflict_347_c000990,347,conflict,True,False,0.2018086577158936
conflict_347_c000993,347,conflict,True,False,0.3775371603969282
conflict_347_c000995,347,conflict,True,False,0.1192094361512594
conflict_348_c001000,348,conflict,True,False,0.0600919936857889
conflict_348_c001001,348,conflict,True,False,0.0373291694410427
conflict_348_c001005,348,conflict,True,False,0.0059115927036791
conflict_348_c001006,348,conflict,True,False,0.0159069895233
conflict_348_c001007,348,conflict,True,False,0.0373308570248199
conflict_348_c001013,348,conflict,True,False,0.0124329014638507
conflict_348_c001014,348,conflict,True,False,0.2942162090813142
conflict_354_c001129,354,conflict,True,False,0.4073112393417857
conflict_354_c001131,354,conflict,True,False,0.1824299971810346
conflict_354_c001137,354,conflict,True,False,0.1645161801017174
conflict_362_c001260,362,conflict,True,False,0.3775030975792415
conflict_362_c001263,362,conflict,True,False,0.0953477191483954
conflict_362_c001265,362,conflict,True,False,0.0600904451135048
conflict_362_c001266,362,conflict,True,False,0.106690698539341
conflict_362_c001268,362,conflict,True,False,0.4687991004384868
conflict_362_c001271,362,conflict,True,False,0.9902894643219788
conflict_363_c001278,363,conflict,True,False,0.0474297221451176
conflict_363_c001284,363,conflict,True,False,0.0474253024559342
conflict_363_c001285,363,conflict,True,False,0.2450822912680832
conflict_363_c001288,363,conflict,True,False,0.6513491650217572
conflict_363_c001290,363,conflict,True,False,0.3775312564055401
conflict_363_c001295,363,conflict,True,False,0.9669050849382343
conflict_363_c001296,363,conflict,True,False,0.6791755114598298
conflict_364_c001302,364,conflict,True,False,0.2018240553355551
conflict_364_c001308,364,conflict,True,False,0.0420918063486986
conflict_364_c001309,364,conflict,True,False,0.0420912808378262
conflict_364_c001310,364,conflict,True,False,0.5926667985912853
conflict_366_c001416,366,conflict,True,False,0.4378063325328866
conflict_366_c001417,366,conflict,True,False,0.1066907349324261
conflict_366_c001423,366,conflict,True,False,0.0097092957677175
conflict_366_c001429,366,conflict,True,False,0.2227069260788584
conflict_366_c001430,366,conflict,True,False,0.4073233933624627
conflict_367_c001447,367,conflict,True,False,0.0229798338293004
conflict_367_c001473,367,conflict,True,False,0.4073205378858854
conflict_367_c001474,367,conflict,True,False,0.5926561521640844
conflict_367_c001475,367,conflict,True,False,0.9046414756417068
conflict_367_c001477,367,conflict,True,False,0.2226925477216875
conflict_367_c001478,367,conflict,True,False,0.0675486392272761
conflict_369_c001515,369,conflict,True,False,0.0031729495867733
conflict_369_c001522,369,conflict,True,False,0.3208214096681672
conflict_370_c001551,370,conflict,True,False,0.1480485064153572
