clip,speaker,score
conflict_301_c000010,301,0.5935074971553204
conflict_301_c000015,301,0.3517434424140244
conflict_302_c000036,302,0.5934818878075723
conflict_302_c000040,302,0.8672176679526326
conflict_303_c000064,303,0.6227053488367513
conflict_306_c000146,306,0.817680743646679
conflict_306_c000148,306,0.29712482883623
conflict_306_c000149,306,0.6813790072095842
conflict_307_c000157,307,0.8526868392698355
conflict_307_c000159,307,0.6794530221433793
conflict_307_c000162,307,0.2239015099984063
conflict_307_c000176,307,0.7312724288671328
conflict_308_c000181,308,0.7775272570585873
conflict_308_c000182,308,0.5628036647014442
conflict_308_c000185,308,0.6794846084484463
conflict_308_c000186,308,0.3791174396592186
conflict_308_c000187,308,0.500219547435493
conflict_311_c000251,311,0.1330346849528605
conflict_312_c000260,312,0.731158931587556
conflict_314_c000291,314,0.4087595671431362
conflict_314_c000293,314,0.4380562887028068
conflict_314_c000296,314,0.0534349033931467
conflict_314_c000312,314,0.979694750530514
conflict_314_c000325,314,0.2452457592567737
conflict_315_c000333,315,0.5627323596099743
conflict_315_c000335,315,0.2456452881734404
conflict_315_c000337,315,0.6525243418467523
conflict_315_c000344,315,0.7986040843026305
conflict_315_c000345,315,0.5034730033267437
conflict_318_c000389,318,0.4385640463905954
conflict_321_c000428,321,0.4691271152953684
conflict_321_c000434,321,0.8808642791809966
conflict_321_c000441,321,0.8178080100319653
conflict_323_c000475,323,0.2241897302093985
conflict_323_c000480,323,0.7312217955530588
conflict_327_c000548,327,0.8672258703871142
conflict_328_c000562,328,0.2483241843252832
conflict_328_c000563,328,0.5933401769004956
conflict_328_c000564,328,0.378232241928149
conflict_329_c000589,329,0.2019763374307827
conflict_332_c000642,332,0.6524302487894391
conflict_332_c000644,332,0.1662839403991108
conflict_332_c000649,332,0.8519717648524112
conflict_332_c000654,332,0.245279981718141
conflict_332_c000656,332,0.3223694931959563
conflict_338_c000810,338,0.5315663218557588
conflict_338_c000820,338,0.3791204925721208
conflict_338_c000821,338,0.3210095216462163
conflict_338_c000822,338,0.3488086010471606
conflict_338_c000824,338,0.1826237221717518
conflict_338_c000825,338,0.1646246734534292
conflict_340_c000847,340,0.4699427471526438
conflict_345_c000931,345,0.6846988732613324
conflict_345_c000932,345,0.5036298498918358
conflict_345_c000935,345,0.5930565571459477
conflict_345_c000939,345,0.4692107984140728
conflict_345_c000940,345,0.164741646050689
conflict_345_c000941,345,0.6226367391041031
conflict_345_c000942,345,0.3779499441670804
conflict_345_c000947,345,0.5624437607822153
conflict_345_c000948,345,0.5623322746766679
conflict_345_c000949,345,0.91495038874545
conflict_345_c000952,345,0.8808605216462504
conflict_345_c000953,345,0.6801760477318407
conflict_346_c000954,346,0.623230157644245
conflict_346_c000956,346,0.3216626229257775
conflict_346_c000957,346,0.1340890832778138
conflict_346_c000971,346,0.5624770113320052
conflict_346_c000972,346,0.6800052489471375
conflict_346_c000974,346,0.6518499750967729
conflict_346_c000982,346,0.5335320102702101
conflict_346_c000983,346,0.8367932537390007
conflict_346_c000984,346,0.7063828274963325
conflict_346_c000985,346,0.7776458994831891
conflict_346_c000986,346,0.8180574646637747
conflict_347_c000988,347,0.6516183183855062
conflict_347_c000990,347,0.3489970693048841
conflict_347_c000993,347,0.679381888796847
conflict_347_c000995,347,0.6231209875877524
conflict_348_c001000,348,0.7983542628132343
conflict_348_c001001,348,0.6229149480904626
conflict_348_c001005,348,0.1067350726275652
conflict_348_c001006,348,0.6793490159614846
conflict_348_c001007,348,0.0954043959996726
conflict_348_c001013,348,0.2227955602514081
conflict_348_c001014,348,0.7320689077250123
conflict_354_c001129,354,0.408230719770292
conflict_354_c001131,354,0.7774810231628383
conflict_354_c001137,354,0.9669507174535588
conflict_362_c001260,362,0.622917685319273
