clip,speaker,p_seed0,fold_seed0,p_seed1,fold_seed1,p_seed2,fold_seed2,p_seed3,fold_seed3,p_seed4,fold_seed4
300.wav,300,0.3838740885,4,3.105866426e-06,4,0.1025322601,1,0.2899128199,4,0.0002984531457,2
301.wav,301,0.0001749458897,3,1.39512058e-05,3,6.328361906e-06,4,0.001023151213,1,0.008921112865,3
302.wav,302,0.08261190355,1,0.02276109159,1,0.0008439585217,2,2.591540579e-05,2,0.001259914949,4
303.wav,303,0.01385508478,0,0.8933691978,2,0.3097534478,3,0.1961411387,3,0.9850249887,0
304.wav,304,0.001009306521,4,0.0001003022699,2,0.0007747100317,2,0.0003544762149,4,0.01540587377,0
305.wav,305,0.0245853886,4,0.3915989995,2,0.131496653,4,0.9654108286,3,9.628865882e-06,2
306.wav,306,0.0001344541233,3,0.2869579196,1,0.5076598525,2,2.619813495e-05,1,0.0003704753763,2
307.wav,307,0.9643151164,2,0.8743596077,4,0.7775193453,0,0.9689670205,0,0.9966255426,4
308.wav,308,2.223927595e-06,3,2.887209121e-05,3,5.086515557e-06,1,8.113389413e-06,1,1.14916711e-05,2
309.wav,309,0.08382210135,0,8.838494523e-07,4,0.0004375912831,1,0.02430213988,2,4.887622254e-07,4
310.wav,310,0.9858281612,3,0.7027249336,3,0.9701705575,1,0.9980704188,4,6.445770123e-05,0
311.wav,311,0.8890140653,1,0.9807620645,3,0.9980746508,1,0.1515211016,0,0.9942939878,2
312.wav,312,0.02529050969,4,0.002237396315,2,0.03161691502,3,0.9986892343,0,4.395109272e-07,0
313.wav,313,0.001396217383,1,0.03522640094,3,0.0943782106,3,0.03521323204,0,0.001208137721,2
314.wav,314,0.03600068018,4,0.003535330296,3,0.003405706957,2,0.2461451143,4,0.034542799,0
315.wav,315,0.5336487889,2,0.003375829197,1,0.02784348093,4,0.002219066489,3,0.01648871601,2
316.wav,316,0.05753538013,0,0.0001125216149,1,0.00361018558,1,0.0446212925,0,3.561855806e-07,0
317.wav,317,0.004353320226,0,0.05916171148,0,0.02731352672,1,0.001677137916,0,0.02778891101,2
