clip,speaker_probe_file,speaker_answer_file,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4,p_yes_answer
300.wav,300,300,0.001159340725,9.66910884e-05,0.02088803798,0.0003891144879,7.466628631e-06,0.6505004831
301.wav,301,301,0.002278513042,0.0005476909573,0.01385194436,0.01089708414,0.006762697827,0.2058778131
302.wav,302,302,0.1272880584,0.1219523251,0.001159832813,0.04049266875,0.006497780792,0.4363747748
303.wav,303,303,1.637405148e-05,5.481614426e-05,0.0002840858942,8.313834769e-06,8.2926701e-05,0.2691223881
304.wav,304,304,0.01632546447,0.3841104507,0.175434798,0.2686616778,0.1262624711,0.4968821509
305.wav,305,305,0.04592552036,0.3886464834,0.2760613263,0.6469771266,0.0001801993931,0.246854999
306.wav,306,306,0.002824863186,0.1467241943,0.09461437166,0.004006927367,0.0007034335868,0.247947141
307.wav,307,307,0.2684117258,0.9556092024,0.6243260503,0.9202412367,0.2986054122,0.4037997123
308.wav,308,308,0.000834153383,5.599567157e-05,0.000125546605,0.0001983541588,2.867548574e-05,0.4989533095
309.wav,309,309,0.01278017927,0.01067154389,0.01918298565,0.1885189861,0.0003447512863,0.4071140513
310.wav,310,310,0.9316661358,0.9634611011,0.4237715602,0.9271265864,0.02178461663,0.5253960232
311.wav,311,311,0.116450116,0.4820230603,0.6789790988,0.01701795124,0.3153229654,0.9038793071
312.wav,312,312,0.00157324702,1.893548074e-06,0.009442830458,0.0004949548165,0.002346704248,0.8980032373
313.wav,313,313,0.3107977808,0.09404925257,0.3419190049,0.04632275924,0.01677596197,0.7033070002
314.wav,314,314,0.002638045931,0.0009714766056,0.002217981499,0.001602016389,0.03647247702,0.5298716066
315.wav,315,315,0.1846648902,2.207409852e-05,0.8799656034,0.006187789142,0.001266726642,0.9565764364
316.wav,316,316,0.02959812619,0.00352027081,0.001862800564,0.01294052601,2.470454092e-06,0.6998416753
317.wav,317,317,0.002172357868,0.02120562457,0.07740990818,0.0001140049135,0.002023319947,0.560775132
318.wav,318,318,0.07836938649,0.1522903889,0.1303301156,0.05977272987,0.1779523641,0.5291349989
319.wav,319,319,0.005074853078,0.0007355935522,3.545433719e-05,6.629591371e-05,0.0005689236568,0.9566657899
320.wav,320,320,0.5682292581,0.8796070814,0.8142860532,0.4009080827,0.903803885,0.8650468694
321.wav,321,321,0.5012955666,0.173464939,0.3380281627,0.9419651031,0.9892095923,0.774930013
