clip,speaker_probe_file,speaker_answer_file,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4,p_yes_answer
conflict_Con_015-0_67805.wav,Control015,Control015,0.812582612,0.8856866956,0.9969651103,0.9750506878,0.6686202884,0.9334317679
conflict_Con_015-1_4987.wav,Control015,Control015,0.5329758525,0.6946636438,0.5293728709,0.1869159788,0.2614954412,0.9626749656
conflict_Con_015-1_60159.wav,Control015,Control015,0.9693167806,0.2090073079,0.9972352386,0.5511896014,0.9865026474,0.8918173053
conflict_Con_017-4_6597.wav,Control017,Control017,0.9177301526,0.9592518806,0.7709727883,0.9613876343,0.4996404946,0.1871442132
conflict_Con_021-1_38448.wav,Control021,Control021,0.954800427,0.9987969398,0.907884717,0.9720363021,0.808111608,0.79566656
conflict_Con_034-1_7639.wav,Control034,Control034,0.868986547,0.931845367,0.02184430324,0.003680005204,0.9809524417,0.9032983468
conflict_Con_034-4_46285.wav,Control034,Control034,0.003090965562,0.7565262914,0.7852500677,0.8666648865,0.7412484884,0.7491007415
conflict_Con_042-2_2251.wav,Control042,Control042,0.009808728471,0.004339988809,0.05938534066,0.04262901843,0.005135253537,0.3140649328
conflict_Con_045-0_35325.wav,Control045,Control045,0.4309188128,0.7452500463,0.9943819642,0.3743883371,0.0649753511,0.5234369485
conflict_Con_045-2_39349.wav,Control045,Control045,0.9998759031,0.9975985885,0.999823153,0.9999814034,0.9985491633,0.7981960772
conflict_Con_052-0_3822.wav,Control052,Control052,7.978804206e-05,0.001077593886,0.0007091301959,0.3569331467,0.4498304725,0.7520265703
conflict_Con_068-0_1810.wav,Control068,Control068,2.064920227e-05,0.1065151319,0.5686722994,0.1741795391,0.000517666107,0.9407899142
conflict_Con_068-2_6578.wav,Control068,Control068,0.003650453407,0.0749258101,0.02696144208,0.001713653328,0.005677243695,0.9706880419
conflict_Con_068-3_1311.wav,Control068,Control068,0.006826611701,0.001645339071,0.001756459591,0.2386714071,0.0003746637958,0.8128743055
conflict_Con_071-1_2091.wav,Control071,Control071,0.8706952333,0.4403731227,0.5670806766,0.1140699983,0.9753392339,0.6478165807
conflict_Con_073-3_37636.wav,Control073,Control073,0.01353775151,0.7235237956,0.1271477044,0.7898284197,0.1533638686,0.8615436906
conflict_Con_086-0_5140.wav,Control086,Control086,0.0390188098,0.7389017344,0.9177109599,0.5678364635,0.01950063556,0.9615336524
conflict_Con_086-0_37577.wav,Control086,Control086,9.320563549e-05,0.8142806888,0.9037683606,0.003181647044,0.004864087794,0.9005299459
conflict_Con_105-2_38053.wav,Control105,Control105,0.999905467,0.9998059869,0.9985394478,0.9999082088,0.9991028309,0.9433472988
conflict_Con_121-0_64117.wav,Control121,Control121,0.06482530385,0.01110255718,0.02232276648,0.02707402408,0.8994835615,0.4765963425
conflict_Con_121-1_32497.wav,Control121,Control121,0.04035701603,0.009585285559,0.01473839395,0.00292501389,0.264729172,0.9372120887
conflict_Con_124-1_36933.wav,Control124,Control124,0.4133082628,0.4614607096,0.1032338738,0.02753093466,0.995377183,0.9136800843
conflict_Con_128-3_800.wav,Control128,Control128,0.9988903403,0.9883393049,0.1784978956,0.9964613318,0.9943704009,0.1294092606
conflict_Con_139-0_36206.wav,Control139,Control139,0.02322082035,0.9999932051,0.9359771609,0.9892277718,0.9992657304,0.3040587588
conflict_Con_140-0_35581.wav,Control140,Control140,0.08722868562,0.6119685769,0.01118667331,0.3680428267,0.03231886774,0.6959688706
conflict_Con_141-1_1470.wav,Control141,Control141,0.08334935457,0.0004725712643,0.0007757964195,0.5062074065,0.00998681318,0.718610669
conflict_Con_158-3_2170.wav,Control158,Control158,0.8216372132,0.02014398761,0.8127767444,0.774179697,0.6524183154,0.6959741932
conflict_Con_192-0_820.wav,Control192,Control192,0.4364189804,0.001940551214,0.9555665255,0.9793801904,0.002176445443,0.9659003136
conflict_Con_209-2_2013.wav,Control209,Control209,0.0007323197788,0.3049536943,0.1054572389,0.01437142398,0.02592095919,0.8688312948
conflict_Con_210-1_35543.wav,Control210,Control210,0.5682934523,0.7585507631,0.9960739613,0.9395880103,0.9457925558,0.9032977578
conflict_Con_225-0_4203.wav,Control225,Control225,0.07642567158,0.05019873008,0.8178240657,0.5707401633,0.01028398052,0.4766003456
conflict_Con_227-0_460.wav,Control227,Control227,0.246469751,0.2384570241,0.5190557837,0.3318109214,0.374145925,0.6791945493
conflict_Con_229-1_1420.wav,Control229,Control229,0.9999741316,0.9978238344,0.8429265022,0.9999065399,0.9999425411,0.9324552692
conflict_Con_229-2_390.wav,Control229,Control229,0.9989215136,0.9995356798,0.772929728,0.9957843423,0.9999839067,0.9086208974
conflict_Con_242-2_64112.wav,Control242,Control242,0.8571583033,0.9996134639,0.8858649731,0.9781441092,0.1051285043,0.8887618496
conflict_Con_243-0_73861.wav,Control243,Control243,0.07057016343,0.1172687635,0.8349737525,0.02761480398,0.4014190435,0.4378446538
conflict_Con_245-2_25300.wav,Control245,Control245,0.9207419157,0.9136071801,0.9858132005,0.3840828836,0.9082087278,0.3380985759
conflict_Con_256-1_5587.wav,Control256,Control256,0.9939292669,0.9990384579,0.9994188547,0.9972863197,0.9791259766,0.8962560984
conflict_Con_280-2_9925.wav,Control280,Control280,0.01454142015,0.02404826507,0.2774481177,0.0217264574,0.008308392949,0.3738904148
conflict_Con_297-2_1520.wav,Control297,Control297,0.1045591235,0.6514413357,0.09911293536,0.007562006358,0.1135022268,0.9124395909
conflict_Con_302-0_7124.wav,Control302,Control302,0.02163441107,0.06744391471,0.9955132604,0.4362395704,0.3140992522,0.7431740184
conflict_Con_323-0_39906.wav,Control323,Control323,0.6325861812,0.4936149418,0.5754060149,0.4780824184,0.1204523519,0.8791515601
conflict_Con_332-0_120.wav,Control332,Control332,0.03733091429,0.6762291193,0.9968755245,0.06873562932,0.02480415627,0.6959703997
conflict_Con_691-0_2463.wav,Control691,Control691,0.9999154806,0.9969385862,0.9999915361,0.2446472347,0.9113711119,0.3040607804
conflict_Con_709-2_760.wav,Control709,Control709,0.371652931,0.5437332392,0.0008406085544,0.2744874656,0.02015565149,0.9744353365
conflict_Dem_003-0_6255.wav,Dementia003,Dementia003,0.0002972406219,0.9568174481,0.9587313533,0.001054434804,0.9927276373,0.7122418637
conflict_Dem_003-0_76644.wav,Dementia003,Dementia003,0.9958082438,0.9989342093,0.9913026094,0.9995791316,0.9999551773,0.7931121492
conflict_Dem_003-0_145294.wav,Dementia003,Dementia003,0.006124417763,0.6932308078,0.9181126356,0.9953837991,0.9956966639,0.7879403286
conflict_Dem_007-1_15997.wav,Dementia007,Dementia007,0.0005066733574,0.03143189475,0.0004020204651,0.01417771075,0.02758138068,0.9674107021
conflict_Dem_007-3_4014.wav,Dementia007,Dementia007,0.4436313808,0.05640993267,0.9662383795,0.499902755,0.03247424588,0.7634967332
conflict_Dem_010-2_4647.wav,Dementia010,Dementia010,0.04530021176,0.1063430458,0.03835252672,0.02017524466,0.0156580545,0.6959707211
conflict_Dem_016-4_40791.wav,Dementia016,Dementia016,0.9237053394,0.596871376,0.02173169702,0.6985982656,0.9393153191,0.9458025712
conflict_Dem_018-0_41994.wav,Dementia018,Dementia018,0.9998928308,0.9978297353,0.9977865219,0.99996984,0.9998846054,0.9449958479
conflict_Dem_024-1_990.wav,Dementia024,Dementia024,0.05569513142,0.07412814349,0.002480020281,0.0275700409,0.01537021156,0.1871483095
conflict_Dem_029-0_41581.wav,Dementia029,Dementia029,0.9536954761,0.7857465148,0.9840444326,0.09163152426,0.562446177,0.9585386976
conflict_Dem_030-0_38630.wav,Dementia030,Dementia030,4.703465947e-06,0.0004754202091,6.795401077e-06,0.0009258285281,0.008194650523,0.3242531129
conflict_Dem_030-1_2020.wav,Dementia030,Dementia030,0.05056322739,0.00567773357,0.0005855645286,0.001304787467,0.008971309289,0.3451288862
conflict_Dem_030-1_37890.wav,Dementia030,Dementia030,0.05378418416,0.03475176916,0.1359503865,0.2512513995,0.9258906245,0.7905444719
conflict_Dem_033-0_2543.wav,Dementia033,Dementia033,0.02848683484,0.00113046763,0.00046271272,0.001871653949,0.01254880801,0.2509275485
conflict_Dem_033-2_2861.wav,Dementia033,Dementia033,0.8710609674,0.01190382242,0.1143472344,0.632101059,0.3493948877,0.8577721584
conflict_Dem_033-3_290.wav,Dementia033,Dementia033,0.02169067971,0.01087170839,0.01018672623,0.0671351403,0.003410332603,0.5273378151
conflict_Dem_033-3_31062.wav,Dementia033,Dementia033,0.05500531569,0.0004859885084,0.004698704462,0.3580269217,0.00118507212,0.8840421881
conflict_Dem_033-4_10719.wav,Dementia033,Dementia033,0.3367099166,0.06435419619,0.08087962121,0.02958722599,0.04629135504,0.8634004315
conflict_Dem_033-4_41376.wav,Dementia033,Dementia033,0.106776379,0.1463305503,0.5789934993,0.0275829304,0.002587046474,0.7879351479
conflict_Dem_039-0_2456.wav,Dementia039,Dementia039,0.8523212671,0.4244842231,0.5203670859,0.6156676412,0.07476194948,0.6297882445
conflict_Dem_039-0_33062.wav,Dementia039,Dementia039,0.9133688807,0.05713503063,0.007040662691,0.371863842,0.003051568288,0.851961822
conflict_Dem_043-0_5095.wav,Dementia043,Dementia043,0.1020837724,0.5470538139,0.09931299835,0.137707293,0.5422842503,0.7745926496
conflict_Dem_043-0_38959.wav,Dementia043,Dementia043,0.999994874,0.9853095412,0.9740095139,0.9947454929,0.9999996424,0.9173069845
conflict_Dem_049-0_3811.wav,Dementia049,Dementia049,0.7764507532,0.9447143674,0.8392851353,0.9986544847,0.2530720532,0.7931144832
conflict_Dem_057-0_5565.wav,Dementia057,Dementia057,0.0002827510471,0.001059004688,0.0004051861761,0.0001215314551,0.005034195259,0.8840458534
conflict_Dem_058-0_7315.wav,Dementia058,Dementia058,0.9804038405,0.97708112,0.99999547,0.9814801812,0.9999607801,0.9353482291
conflict_Dem_058-1_45600.wav,Dementia058,Dementia058,0.9589518905,0.9869508147,0.9999293089,0.190076381,0.9998087287,0.8499768979
conflict_Dem_058-4_4619.wav,Dementia058,Dementia058,0.9582724571,0.8252435923,0.9762925506,0.8595563173,0.9479517341,0.7341341034
conflict_Dem_067-1_1996.wav,Dementia067,Dementia067,0.999907136,0.9215248823,0.9837133884,0.9999908209,0.9351872206,0.8539170579
conflict_Dem_067-2_38997.wav,Dementia067,Dementia067,0.9998623133,0.9999915361,0.9999144077,0.9996832609,0.9982188344,0.1008857759
conflict_Dem_076-0_37244.wav,Dementia076,Dementia076,0.9983464479,0.9989808202,0.9619194269,0.9998639822,0.9994712472,0.8333290148
conflict_Dem_076-2_4304.wav,Dementia076,Dementia076,0.9805570841,0.9963324666,0.9375857711,0.9766172767,0.9776836634,0.5389957442
conflict_Dem_089-0_35974.wav,Dementia089,Dementia089,0.9999989271,0.9998710155,0.9999939203,0.9999238253,0.9999911785,0.9284115723
conflict_Dem_094-1_3944.wav,Dementia094,Dementia094,0.9771932364,0.9998846054,0.999791801,0.9812569618,0.03310776874,0.7217543308
conflict_Dem_120-0_2632.wav,Dementia120,Dementia120,0.05538741872,0.01251074299,0.1741108894,0.002891626209,0.595026195,0.6926544294
conflict_Dem_120-2_560.wav,Dementia120,Dementia120,0.003843989456,0.001337822061,0.001918247552,0.003996968269,0.003706224263,0.8688303822
conflict_Dem_157-1_5428.wav,Dementia157,Dementia157,0.9708951712,0.9975722432,0.9999979734,0.9758021235,0.9420649409,0.04743000454
conflict_Dem_157-1_37725.wav,Dementia157,Dementia157,0.9397162199,0.8455659747,0.9999408722,0.9397112727,0.9344769716,0.6654234917
conflict_Dem_157-1_72489.wav,Dementia157,Dementia157,0.9222863913,0.992346406,0.999712646,0.9918820262,0.8995247483,0.6992649248
conflict_Dem_157-1_106467.wav,Dementia157,Dementia157,0.04009100795,0.1364378184,0.999958992,0.3068454564,0.2437036186,0.7461521655
