clip,speaker_probe_file,speaker_answer_file,p_probe_rep0,p_probe_rep1,p_probe_rep2,p_probe_rep3,p_probe_rep4,p_yes_answer
AVPEPUDEAC0001_readtext.wav,AVPEPUDEAC0001,AVPEPUDEAC0001,0.55543417,0.93602067,0.96658784,0.78687263,0.51706517,0.531189893
AVPEPUDEAC0003_readtext.wav,AVPEPUDEAC0003,AVPEPUDEAC0003,0.13041392,0.39883026,0.97317976,0.19305639,0.73270202,0.4378287827
AVPEPUDEAC0004_readtext.wav,AVPEPUDEAC0004,AVPEPUDEAC0004,0.46321389,0.54549432,0.71336764,0.6628617,0.07009268,0.4999820059
AVPEPUDEAC0005_readtext.wav,AVPEPUDEAC0005,AVPEPUDEAC0005,6.396e-05,0.00150651,0.00152064,0.00080707,0.0072313,0.5312131288
AVPEPUDEAC0006_readtext.wav,AVPEPUDEAC0006,AVPEPUDEAC0006,0.95119774,0.05986723,0.99732178,0.81270647,0.76869071,0.7057716698
AVPEPUDEAC0007_readtext.wav,AVPEPUDEAC0007,AVPEPUDEAC0007,0.68097275,0.01444567,0.4850859,0.14330016,0.01561626,0.2689525985
AVPEPUDEAC0008_readtext.wav,AVPEPUDEAC0008,AVPEPUDEAC0008,0.37466112,0.01068892,0.15854737,0.00912821,0.13174559,0.468796758
AVPEPUDEAC0010_readtext.wav,AVPEPUDEAC0010,AVPEPUDEAC0010,3.807e-05,0.00032034,0.00201021,0.00302684,4.455e-05,0.5311893814
AVPEPUDEAC0011_readtext.wav,AVPEPUDEAC0011,AVPEPUDEAC0011,0.98620737,0.98769182,0.99481577,0.9857868,0.79734397,0.7057775274
AVPEPUDEAC0012_readtext.wav,AVPEPUDEAC0012,AVPEPUDEAC0012,0.16005257,0.97763026,0.77530444,0.03370886,0.92119217,0.5621580999
AVPEPUDEAC0013_readtext.wav,AVPEPUDEAC0013,AVPEPUDEAC0013,0.04563797,0.99901223,0.00097112,0.2219356,0.02261564,0.5926631661
AVPEPUDEAC0014_readtext.wav,AVPEPUDEAC0014,AVPEPUDEAC0014,0.35641417,0.05007402,0.24940722,0.55123413,0.01151719,0.2942045907
AVPEPUDEAC0015_readtext.wav,AVPEPUDEAC0015,AVPEPUDEAC0015,7.507e-05,3.015e-05,0.00011555,2.74e-06,1.797e-05,0.6791592605
AVPEPUDEAC0016_readtext.wav,AVPEPUDEAC0016,AVPEPUDEAC0016,0.03378264,0.01309994,0.00482684,0.01476863,0.00928102,0.3485912686
AVPEPUDEAC0017_readtext.wav,AVPEPUDEAC0017,AVPEPUDEAC0017,0.92456442,0.95336378,0.13277052,0.48015696,0.93761635,0.6224552452
AVPEPUDEAC0018_readtext.wav,AVPEPUDEAC0018,AVPEPUDEAC0018,3.548e-05,0.00030753,0.00058759,0.00011605,4.35e-06,0.4378176056
AVPEPUDEAC0019_readtext.wav,AVPEPUDEAC0019,AVPEPUDEAC0019,0.00287732,5.2e-06,1.794e-05,1.34e-06,3.064e-05,0.7057713585
AVPEPUDEAC0020_readtext.wav,AVPEPUDEAC0020,AVPEPUDEAC0020,0.46546301,0.00401178,0.4547292,0.01576345,0.06823145,0.2942203738
AVPEPUDEAC0021_readtext.wav,AVPEPUDEAC0021,AVPEPUDEAC0021,0.00116091,1.756e-05,0.0005241,0.00098008,0.00170333,0.4073281656
AVPEPUDEAC0022_readtext.wav,AVPEPUDEAC0022,AVPEPUDEAC0022,6.468e-05,8.316e-05,0.00093921,0.00123334,0.00227705,0.4378134165
AVPEPUDEAC0023_readtext.wav,AVPEPUDEAC0023,AVPEPUDEAC0023,0.15752448,0.00851614,0.0259141,8.083e-05,0.00283409,0.2689455139
AVPEPUDEAC0024_readtext.wav,AVPEPUDEAC0024,AVPEPUDEAC0024,0.00020475,2.162e-05,0.00031716,0.03009058,0.00071121,0.5621587376
AVPEPUDEAC0025_readtext.wav,AVPEPUDEAC0025,AVPEPUDEAC0025,0.00520742,0.00161956,0.08157831,0.05303704,0.03903914,0.3775459307
AVPEPUDEAC0026_readtext.wav,AVPEPUDEAC0026,AVPEPUDEAC0026,0.01165932,0.01668779,0.04757292,0.72684133,0.0556061,0.320826425
AVPEPUDEAC0027_readtext.wav,AVPEPUDEAC0027,AVPEPUDEAC0027,0.99648738,0.98047799,0.96469748,0.99492753,0.9690994,0.4999783246
AVPEPUDEAC0028_readtext.wav,AVPEPUDEAC0028,AVPEPUDEAC0028,0.98425931,0.99984002,0.99996769,0.96802348,0.99700218,0.8670175807
AVPEPUDEAC0029_readtext.wav,AVPEPUDEAC0029,AVPEPUDEAC0029,0.00063535,0.00773326,0.04414204,0.03021761,0.00471733,0.4073335188
AVPEPUDEAC0030_readtext.wav,AVPEPUDEAC0030,AVPEPUDEAC0030,1.37e-06,1.48e-06,5.6e-07,4.81e-06,1.03e-06,0.4687688256
AVPEPUDEAC0031_readtext.wav,AVPEPUDEAC0031,AVPEPUDEAC0031,0.00071496,0.13108253,0.05384963,0.00020709,3.65e-06,0.3775557841
AVPEPUDEAC0033_readtext.wav,AVPEPUDEAC0033,AVPEPUDEAC0033,0.00017587,8.06e-06,3.55e-06,1.4e-06,5.657e-05,0.5311876559
AVPEPUDEAC0034_readtext.wav,AVPEPUDEAC0034,AVPEPUDEAC0034,0.00011086,0.03523429,0.00045262,8.713e-05,0.00021704,0.5926388606
AVPEPUDEAC0035_readtext.wav,AVPEPUDEAC0035,AVPEPUDEAC0035,8.1e-07,1.5e-06,2.9e-06,2.9e-07,9.8e-07,0.4687833882
AVPEPUDEAC0037_readtext.wav,AVPEPUDEAC0037,AVPEPUDEAC0037,0.02130053,0.00237439,0.04789113,6.202e-05,0.00020454,0.5926452113
AVPEPUDEAC0039_readtext.wav,AVPEPUDEAC0039,AVPEPUDEAC0039,0.0048532,0.00104067,0.00256742,0.00049689,0.00980962,0.4999778455
AVPEPUDEAC0040_readtext.wav,AVPEPUDEAC0040,AVPEPUDEAC0040,0.00016304,1.671e-05,1.963e-05,9.846e-05,0.00013566,0.2450902386
